report_title,report_quarter,price_sentiment_index,price_expectation_index,income_sentiment_index,income_confidence_index,employment_sentiment_index,employment_expectation_index,price_up_share,price_same_share,price_down_share,price_uncertain_share
2011年第1季度储户问卷调查报告,2011Q1,17.3,72.8,54.5,55.4,41.7,53.2,47.1,,,
2011年第2季度储户问卷调查报告,2011Q2,16.8,72.2,54.1,55.3,40.7,51.3,45.4,,,
2011年第3季度储户问卷调查报告,2011Q3,14.8,74.8,50.3,54.3,39.1,50.2,49.6,,,
2011年第4季度储户问卷调查报告,2011Q4,16.5,65.4,50.9,55.3,39.8,50.6,36.8,,,
2012年第1季度储户问卷调查报告,2012Q1,21.4,70.5,49.9,52.8,37.3,48.3,41.7,,,10.3
2012年第2季度储户问卷调查报告,2012Q2,18.2,65.5,50.1,53.2,40.1,48.9,18.2,65.5,8.4,50.1
2012年第4季度储户问卷调查报告,2012Q4,22,70.2,51.8,56.3,40.6,51.2,22,41.7,5.3,51.8
2013年第1季度储户问卷调查报告,2013Q1,20,66.9,54.6,55.8,41.9,52,20,66.9,54.6,41.9
2013年第2季度储户问卷调查报告,2013Q2,21.8,66.8,50.7,53.8,38.3,48.2,21.8,51.8,11.4,53.8
2013年第3季度储户问卷调查报告,2013Q3,21.4,70.5,49.9,52.8,37.3,48.3,59.7,48,10.3,12.5
2013年第4季度城镇储户问卷调查报告,2013Q4,20.5,72.2,50.3,54.1,38.8,49.7,61.6,41.5,13.4,12.8
2014年第1季度城镇储户问卷调查报告,2014Q1,23.6,63.9,50.7,53,40.6,49.9,55.8,48.5,14,13.3
2014年第2季度城镇储户问卷调查报告,2014Q2,23.2,63.8,48.3,51.6,38.6,47.8,56.5,50.1,7.1,13.4
2014年第3季度城镇储户问卷调查报告,2014Q3,25.1,64.1,49.2,52.5,39.22,488.2,25.1,54,6.7,11.7
2014年第4季度城镇储户问卷调查报告,2014Q4,25.4,64.5,49.2,53.4,38.8,48.4,52.9,50.1,6.6,13.8
2015年第1季度城镇储户问卷调查报告,2015Q1,27.7,59,50.8,51.4,40.66,477.8,27.7,48.8,10.2,100.9
2015年第2季度城镇储户问卷调查报告,2015Q2,28.4,60.4,48.5,51.5,40.1,47.8,47.4,54.1,8,13.4
2015年第3季度城镇储户问卷调查报告,2015Q3,27.8,63.5,47.3,50.1,38.2,46.3,48,50.2,7.3,13.6
2015年第4季度城镇储户问卷调查报告,2015Q4,26.3,63.8,45.3,49.1,38.3,45.3,51.1,50.1,7.2,13.7
2016年第一季度城镇储户问卷调查报告,2016Q1,25.2,57.3,46.2,48.4,37.6,44.8,52.7,51.6,11.9,14.2
2016年第二季度城镇储户问卷调查报告,2016Q2,25,60.6,45.3,48.8,37,45,53.4,51.6,8.6,14.7
2016年第三季度城镇储户问卷调查报告,2016Q3,26.7,62.6,46.1,49.8,37.1,46.2,26.7,50,7.1,11.4
2016年第四季度城镇储户问卷调查报告,2016Q4,29.2,67.6,51.9,54.9,40.1,49.4,44.4,46.2,5.9,13
2017年第一季度城镇储户问卷调查报告,2017Q1,29.6,61.5,52.6,52.9,41.8,51.1,29,50.9,8.6,11.5
2017年第二季度城镇储户问卷调查报告,2017Q2,,61.3,51.3,52.9,41.9,50.7,27.7,52.3,7.9,12.1
2017年第三季度城镇储户问卷调查报告,2017Q3,,61.5,52.6,52.9,41.8,51.1,52.8,86.6,53.3,11.5
2017年第四季度城镇储户问卷调查报告,2017Q4,,61.3,51.3,52.9,41.9,50.7,53.6,88.9,54.9,9.6
2018年第一季度城镇储户问卷调查报告,2018Q1,,61.2,52.8,53.3,42.6,50.8,55.4,89.2,54.2,26.4
2018年第二季度城镇储户问卷调查报告,2018Q2,,64.3,53.6,54.9,44.9,53.4,53.2,27.7,8.1,10.5
2018年第三季度城镇储户问卷调查报告,2018Q3,,59.6,55.4,54.2,45.8,54.1,53.6,31.8,7.2,10.3
2018年第四季度城镇储户问卷调查报告,2018Q4,,61,53.2,53.5,45,52.3,53.5,54.4,7,10
2019年第一季度城镇储户问卷调查报告,2019Q1,,63.7,53.6,52.7,44.2,51.6,54.8,89.7,54,10.5
2019年第二季度城镇储户问卷调查报告,2019Q2,,64.3,53.5,54.4,45.5,53.3,53,29.2,7.6,10.4
2019年第三季度城镇储户问卷调查报告,2019Q3,,60.4,54.8,54,45.8,53.7,54.1,19.4,53.4,9.8
2019年第四季度城镇储户问卷调查报告,2019Q4,,62,53,52.6,44.2,52.3,52.6,53.1,9.2,10.3
2020年第一季度城镇储户问卷调查报告,2020Q1,,65.4,54.1,53.4,45.4,52.6,10.7,44.5,10.4,13.1
2020年第二季度城镇储户问卷调查报告,2020Q2,,64.4,52.6,53.1,44.5,51.9,46.1,13.8,21.7,47.9
2020年第三季度城镇储户问卷调查报告,2020Q3,,63.2,41.6,45.9,37.7,47.3,49.3,15.8,17.1,49.2
2020年第四季度城镇储户问卷调查报告,2020Q4,,58.3,46.1,47.9,37.5,50.1,50.6,15.3,14,51.2
2021年第一季度城镇储户问卷调查报告,2021Q1,,62.2,49.3,49.2,39.7,50.4,16.4,53.7,10.1,11.9
2021年第二季度城镇储户问卷调查报告,2021Q2,,61.6,50.6,51.2,41.4,51.2,14.9,55.5,8.1,12.2
