report_title,report_quarter,report_date,article_url,pdf_url,pdf_path,pdf_sha256,quarter,price_sentiment_index,price_expectation_index,income_sentiment_index,income_confidence_index,employment_sentiment_index,employment_expectation_index,price_up_share,price_same_share,price_down_share,price_uncertain_share
2010年第4季度储户问卷调查报告,2010Q4,,https://www.pbc.gov.cn/goutongjiaoliu/113456/113469/2025092212542167951/index.html,https://www.pbc.gov.cn/eportal/fileDir/image_public/UserFiles/goutongjiaoliu/upload/File/2010年第4季度储户问卷调查报告.pdf,data\raw\pboc_depositor_survey\pdfs\2010年第4季度储户问卷调查报告.pdf,59182ef100adaa018056f0b3d1059de239f8a6f4e140d45f7baa152e967ad406,2010Q4,,,,,,,,,,
2011年第1季度储户问卷调查报告,2011Q1,,https://www.pbc.gov.cn/goutongjiaoliu/113456/113469/2025092212540950844/index.html,https://www.pbc.gov.cn/eportal/fileDir/image_public/UserFiles/goutongjiaoliu/upload/File/2011年第1季度储户问卷调查.pdf,data\raw\pboc_depositor_survey\pdfs\2011年第1季度储户问卷调查报告.pdf,c9ee21ea311084f20f188de142a8db76914170b036b0f856ae27a6842a4761b8,2011Q1,,,,,,,,,,
2011年第2季度储户问卷调查报告,2011Q2,,https://www.pbc.gov.cn/goutongjiaoliu/113456/113469/2025092212541039078/index.html,https://www.pbc.gov.cn/eportal/fileDir/image_public/UserFiles/goutongjiaoliu/upload/File/2011年第2季度储户问卷调查报告.pdf,data\raw\pboc_depositor_survey\pdfs\2011年第2季度储户问卷调查报告.pdf,66e0300fa9b465697244fa40df7b81bfe6fe249aed503af9645542c8d2de33da,2011Q2,,,,,,,,,,
2011年第3季度储户问卷调查报告,2011Q3,,https://www.pbc.gov.cn/goutongjiaoliu/113456/113469/2025092212541155300/index.html,https://www.pbc.gov.cn/eportal/fileDir/image_public/UserFiles/goutongjiaoliu/upload/File/2011%E5%B9%B4%E7%AC%AC3%E5%AD%A3%E5%BA%A6%E5%82%A8%E6%88%B7%E9%97%AE%E5%8D%B7%E8%B0%83%E6%9F%A5%E6%8A%A5%E5%91%8A.pdf,data\raw\pboc_depositor_survey\pdfs\2011年第3季度储户问卷调查报告.pdf,c86b43febb38d5765c4b7d8834ed191356118edce86bb8c2f9fb38b464a9bd85,2011Q3,,,,,,,14.8,74.8,69.2,13
2011年第4季度储户问卷调查报告,2011Q4,,https://www.pbc.gov.cn/goutongjiaoliu/113456/113469/2025092212541952593/index.html,https://www.pbc.gov.cn/eportal/fileDir/image_public/UserFiles/goutongjiaoliu/upload/File/2011年第4季度储户问卷调查报告.pdf,data\raw\pboc_depositor_survey\pdfs\2011年第4季度储户问卷调查报告.pdf,8b24baecc11f0859d5324a51fc9dd5eeafd53fba30a863d679e0b8c2c33a385a,2011Q4,,,,,,,,,,
2012年第1季度储户问卷调查报告,2012Q1,,https://www.pbc.gov.cn/goutongjiaoliu/113456/113469/2025092212541313392/index.html,https://www.pbc.gov.cn/eportal/fileDir/image_public/UserFiles/goutongjiaoliu/upload/File/2012年第1季度储户问卷调查报告.pdf,data\raw\pboc_depositor_survey\pdfs\2012年第1季度储户问卷调查报告.pdf,b24fe77d1091e7aef65cdda2c5158833bd0c7bbbfba3628146964311085527b6,2012Q1,,,,,,,,,,
2012年第2季度储户问卷调查报告,2012Q2,,https://www.pbc.gov.cn/goutongjiaoliu/113456/113469/2025092212542246608/index.html,https://www.pbc.gov.cn/eportal/fileDir/image_public/UserFiles/goutongjiaoliu/upload/File/2012年第2季度储户问卷调查报告(2).pdf,data\raw\pboc_depositor_survey\pdfs\2012年第2季度储户问卷调查报告.pdf,ca9fc7670b53ba28c75d02549ffe32a3756f861633e0156bc6713ad3ca4d89ca,2012Q2,18.2,65.5,50.1,53.2,40.1,48.9,18.2,65.5,8.4,50.1
2012年第4季度储户问卷调查报告,2012Q4,,https://www.pbc.gov.cn/goutongjiaoliu/113456/113469/2025092212541549706/index.html,https://www.pbc.gov.cn/eportal/fileDir/image_public/UserFiles/goutongjiaoliu/upload/File/2012第4季度储户问卷调查报告.pdf,data\raw\pboc_depositor_survey\pdfs\2012年第4季度储户问卷调查报告.pdf,9236ca6bdf6367e910b5d2941a5b6420d5719d761b8f74dd9ced15540dba400d,2012Q4,22,70.2,51.8,56.3,40.6,51.2,22,41.7,5.3,51.8
2013年第1季度储户问卷调查报告,2013Q1,,https://www.pbc.gov.cn/goutongjiaoliu/113456/113469/2025092212541615422/index.html,https://www.pbc.gov.cn/eportal/fileDir/image_public/UserFiles/goutongjiaoliu/upload/File/2013第1季度储户问卷调查报告.pdf,data\raw\pboc_depositor_survey\pdfs\2013年第1季度储户问卷调查报告.pdf,4627f71d2bea3836e263fc50678feed2b82f2b88f1ffff882c2799106727fe62,2013Q1,20,66.9,54.6,55.8,41.9,52,20,66.9,54.6,41.9
2013年第2季度储户问卷调查报告,2013Q2,,https://www.pbc.gov.cn/goutongjiaoliu/113456/113469/2025092212541680865/index.html,https://www.pbc.gov.cn/eportal/fileDir/image_public/UserFiles/goutongjiaoliu/upload/File/2013年第2季度储户问卷调查报告.pdf,data\raw\pboc_depositor_survey\pdfs\2013年第2季度储户问卷调查报告.pdf,7b4f533a6dd8df41c5d7f48be78a3f01810b9996c729b0d976b58aded7e44e72,2013Q2,21.8,66.8,50.7,53.8,38.3,48.2,21.8,51.8,11.4,53.8
