quarter,future_price_expectation_index
2011Q1,72.8
2011Q2,72.2
2011Q3,74.8
2011Q4,65.4
2012Q1,62.1
2012Q2,65.5
2012Q4,70.2
2013Q1,66.9
2013Q2,66.8
2013Q3,70.5
2013Q4,72.2
2014Q1,63.9
2014Q2,63.8
2014Q3,64.1
2014Q4,64.5
2015Q1,59
2015Q2,60.4
2015Q3,63.5
2015Q4,63.8
2016Q1,57.3
2016Q2,60.6
2016Q3,62.6
2016Q4,67.6
2017Q1,61.5
2017Q2,61.3
2017Q3,61.5
2017Q4,61.3
2018Q1,61.2
2018Q2,64.3
2018Q3,59.6
2018Q4,61
2019Q1,63.7
2019Q2,64.3
2019Q3,60.4
2019Q4,62
2020Q1,65.4
2020Q2,64.4
2020Q3,63.2
2020Q4,58.3
2021Q1,62.2
2021Q2,61.6
2021Q3,58.4
2021Q4,59.5
2022Q1,58.7
2022Q2,63.8
2022Q3,58.7
2022Q4,60.4
2023Q1,61
2023Q2,62.8
2023Q3,58.6
2023Q4,57.7
2024Q1,59.1
2024Q2,59.2
2024Q3,56.1
2024Q4,58.1
2025Q1,60.9
2025Q2,59.8
2025Q3,57.1
