quarter,future_price_expectation_index
2010Q4,
2011Q1,
2011Q2,
2011Q3,
2011Q4,
2012Q1,
2012Q2,65.5
2012Q4,70.2
2013Q1,66.9
2013Q2,66.8
2013Q3,70.5
2013Q4,72.2
2014Q1,63.9
2014Q2,63.8
2014Q3,64.1
2014Q4,64.5
2015Q1,59
2015Q2,60.4
2015Q3,63.5
2015Q4,63.8
2016Q1,57.3
2016Q2,60.6
2016Q3,62.6
2016Q4,67.6
2017Q1,52.6
2017Q2,51.3
2017Q3,52.8
2017Q4,53.6
2018Q1,55.4
2018Q2,53.2
2018Q3,53.6
2018Q4,53.5
2019Q1,54.8
2019Q2,53
2019Q3,54.1
2019Q4,52.6
2020Q1,41.6
2020Q2,46.1
2020Q3,49.3
2020Q4,50.6
2021Q1,51.7
2021Q2,51.2
2021Q3,49.7
2021Q4,49.9
2022Q1,50.2
2022Q2,44.5
2022Q3,47
2022Q4,43.8
