provcd,province_name,region,date,commodity,cpi_index
34,Anhui,East,2025-12-01,eggs,100.7
34,Anhui,East,2025-11-01,eggs,96.3
34,Anhui,East,2025-10-01,eggs,97.5
34,Anhui,East,2025-09-01,eggs,104.6
34,Anhui,East,2025-08-01,eggs,101.2
34,Anhui,East,2025-07-01,eggs,99.7
34,Anhui,East,2025-06-01,eggs,97.1
34,Anhui,East,2025-05-01,eggs,98.9
34,Anhui,East,2025-04-01,eggs,98.6
34,Anhui,East,2025-03-01,eggs,95.5
34,Anhui,East,2025-02-01,eggs,93
34,Anhui,East,2025-01-01,eggs,100
34,Anhui,East,2024-12-01,eggs,100.3
34,Anhui,East,2024-11-01,eggs,97.9
34,Anhui,East,2024-10-01,eggs,97.2
34,Anhui,East,2024-09-01,eggs,103.2
34,Anhui,East,2024-08-01,eggs,102.7
34,Anhui,East,2024-07-01,eggs,106.7
34,Anhui,East,2024-06-01,eggs,101.8
34,Anhui,East,2024-05-01,eggs,103.2
34,Anhui,East,2024-04-01,eggs,97.1
34,Anhui,East,2024-03-01,eggs,93.4
34,Anhui,East,2024-02-01,eggs,97.5
34,Anhui,East,2024-01-01,eggs,98.7
34,Anhui,East,2023-12-01,eggs,100.3
34,Anhui,East,2023-11-01,eggs,96
34,Anhui,East,2023-10-01,eggs,96.2
34,Anhui,East,2023-09-01,eggs,102.8
34,Anhui,East,2023-08-01,eggs,108.4
34,Anhui,East,2023-07-01,eggs,99.7
34,Anhui,East,2023-06-01,eggs,97
34,Anhui,East,2023-05-01,eggs,98.2
34,Anhui,East,2023-04-01,eggs,99.6
34,Anhui,East,2023-03-01,eggs,99.1
34,Anhui,East,2023-02-01,eggs,94.8
34,Anhui,East,2023-01-01,eggs,98.2
34,Anhui,East,2022-12-01,eggs,99.2
34,Anhui,East,2022-11-01,eggs,100.6
34,Anhui,East,2022-10-01,eggs,101.4
34,Anhui,East,2022-09-01,eggs,107.9
34,Anhui,East,2022-08-01,eggs,102.7
34,Anhui,East,2022-07-01,eggs,101
34,Anhui,East,2022-06-01,eggs,96.7
34,Anhui,East,2022-05-01,eggs,101.2
34,Anhui,East,2022-04-01,eggs,107.1
34,Anhui,East,2022-03-01,eggs,98
34,Anhui,East,2022-02-01,eggs,96.9
34,Anhui,East,2022-01-01,eggs,99.2
34,Anhui,East,2021-12-01,eggs,98.1
34,Anhui,East,2021-11-01,eggs,103.1
34,Anhui,East,2021-10-01,eggs,97.7
34,Anhui,East,2021-09-01,eggs,99.7
34,Anhui,East,2021-08-01,eggs,109.3
34,Anhui,East,2021-07-01,eggs,101.6
34,Anhui,East,2021-06-01,eggs,99.3
34,Anhui,East,2021-05-01,eggs,103.5
34,Anhui,East,2021-04-01,eggs,101.7
34,Anhui,East,2021-03-01,eggs,94.6
34,Anhui,East,2021-02-01,eggs,96.1
34,Anhui,East,2021-01-01,eggs,110.4
34,Anhui,East,2020-12-01,eggs,103
34,Anhui,East,2020-11-01,eggs,98.4
34,Anhui,East,2020-10-01,eggs,98.7
34,Anhui,East,2020-09-01,eggs,100.3
34,Anhui,East,2020-08-01,eggs,110.2
34,Anhui,East,2020-07-01,eggs,105
34,Anhui,East,2020-06-01,eggs,95.2
34,Anhui,East,2020-05-01,eggs,95.6
34,Anhui,East,2020-04-01,eggs,97.1
34,Anhui,East,2020-03-01,eggs,91.9
34,Anhui,East,2020-02-01,eggs,94
34,Anhui,East,2020-01-01,eggs,97.8
34,Anhui,East,2019-12-01,eggs,96.6
34,Anhui,East,2019-11-01,eggs,99.2
34,Anhui,East,2019-10-01,eggs,97.6
34,Anhui,East,2019-09-01,eggs,107
34,Anhui,East,2019-08-01,eggs,104.8
34,Anhui,East,2019-07-01,eggs,104.4
34,Anhui,East,2019-06-01,eggs,97.9
34,Anhui,East,2019-05-01,eggs,106.5
34,Anhui,East,2019-04-01,eggs,101.9
34,Anhui,East,2019-03-01,eggs,92.8
34,Anhui,East,2019-02-01,eggs,95.4
34,Anhui,East,2019-01-01,eggs,100.4
34,Anhui,East,2018-12-01,eggs,99.1
34,Anhui,East,2018-11-01,eggs,99
34,Anhui,East,2018-10-01,eggs,96.5
34,Anhui,East,2018-09-01,eggs,103.2
34,Anhui,East,2018-08-01,eggs,113.2
34,Anhui,East,2018-07-01,eggs,100.7
34,Anhui,East,2018-06-01,eggs,99.8
34,Anhui,East,2018-05-01,eggs,101.9
34,Anhui,East,2018-04-01,eggs,95
34,Anhui,East,2018-03-01,eggs,91.2
34,Anhui,East,2018-02-01,eggs,101.4
34,Anhui,East,2018-01-01,eggs,103.1
34,Anhui,East,2017-12-01,eggs,104.7
34,Anhui,East,2017-11-01,eggs,100.7
34,Anhui,East,2017-10-01,eggs,96.4
34,Anhui,East,2017-09-01,eggs,104.4
34,Anhui,East,2017-08-01,eggs,113.4
34,Anhui,East,2017-07-01,eggs,103.4
34,Anhui,East,2017-06-01,eggs,107.5
34,Anhui,East,2017-05-01,eggs,94.9
34,Anhui,East,2017-04-01,eggs,100
34,Anhui,East,2017-03-01,eggs,93.8
34,Anhui,East,2017-02-01,eggs,92.1
34,Anhui,East,2017-01-01,eggs,99.5
34,Anhui,East,2016-12-01,eggs,98.9
34,Anhui,East,2016-11-01,eggs,99.3
34,Anhui,East,2016-10-01,eggs,95.5
34,Anhui,East,2016-09-01,eggs,106.5
34,Anhui,East,2016-08-01,eggs,103.3
34,Anhui,East,2016-07-01,eggs,97.6
34,Anhui,East,2016-06-01,eggs,99.2
34,Anhui,East,2016-05-01,eggs,98.8
34,Anhui,East,2016-04-01,eggs,97.4
34,Anhui,East,2016-03-01,eggs,91.9
34,Anhui,East,2016-02-01,eggs,100.9
34,Anhui,East,2016-01-01,eggs,103.8
34,Anhui,East,2015-12-01,eggs,101.7
34,Anhui,East,2015-11-01,eggs,98.2
34,Anhui,East,2015-10-01,eggs,90.1
34,Anhui,East,2015-09-01,eggs,103.6
34,Anhui,East,2015-08-01,eggs,114.7
34,Anhui,East,2015-07-01,eggs,102.4
34,Anhui,East,2015-06-01,eggs,97
34,Anhui,East,2015-05-01,eggs,98.4
34,Anhui,East,2015-04-01,eggs,91.4
34,Anhui,East,2015-03-01,eggs,93
34,Anhui,East,2015-02-01,eggs,99
34,Anhui,East,2015-01-01,eggs,95.7
34,Anhui,East,2014-12-01,eggs,98.9
34,Anhui,East,2014-11-01,eggs,98.5
34,Anhui,East,2014-10-01,eggs,94.9
34,Anhui,East,2014-09-01,eggs,100.9
34,Anhui,East,2014-08-01,eggs,107.9
34,Anhui,East,2014-07-01,eggs,106
34,Anhui,East,2014-06-01,eggs,96.1
34,Anhui,East,2014-05-01,eggs,113.2
34,Anhui,East,2014-04-01,eggs,103.8
34,Anhui,East,2014-03-01,eggs,99.3
34,Anhui,East,2014-02-01,eggs,96.5
34,Anhui,East,2014-01-01,eggs,103.1
34,Anhui,East,2013-12-01,eggs,101.6
34,Anhui,East,2013-11-01,eggs,97.9
34,Anhui,East,2013-10-01,eggs,91.2
34,Anhui,East,2013-09-01,eggs,109
34,Anhui,East,2013-08-01,eggs,111.9
34,Anhui,East,2013-07-01,eggs,98.2
34,Anhui,East,2013-06-01,eggs,100.6
34,Anhui,East,2013-05-01,eggs,99.1
34,Anhui,East,2013-04-01,eggs,94.2
34,Anhui,East,2013-03-01,eggs,92
34,Anhui,East,2013-02-01,eggs,98.1
34,Anhui,East,2013-01-01,eggs,102.4
34,Anhui,East,2012-12-01,eggs,104.6
34,Anhui,East,2012-11-01,eggs,97.8
34,Anhui,East,2012-10-01,eggs,95
34,Anhui,East,2012-09-01,eggs,105.9
34,Anhui,East,2012-08-01,eggs,110.6
34,Anhui,East,2012-07-01,eggs,98.8
34,Anhui,East,2012-06-01,eggs,117.1
34,Anhui,East,2012-05-01,eggs,99.2
34,Anhui,East,2012-04-01,eggs,98.4
34,Anhui,East,2012-03-01,eggs,95.4
34,Anhui,East,2012-02-01,eggs,88.5
34,Anhui,East,2012-01-01,eggs,100.5
11,Beijing,North,2025-12-01,eggs,99.7
11,Beijing,North,2025-11-01,eggs,97.7
11,Beijing,North,2025-10-01,eggs,98.5
11,Beijing,North,2025-09-01,eggs,102.6
11,Beijing,North,2025-08-01,eggs,101.4
11,Beijing,North,2025-07-01,eggs,99.4
11,Beijing,North,2025-06-01,eggs,97.3
11,Beijing,North,2025-05-01,eggs,99.4
11,Beijing,North,2025-04-01,eggs,99.2
11,Beijing,North,2025-03-01,eggs,97.3
11,Beijing,North,2025-02-01,eggs,95.7
11,Beijing,North,2025-01-01,eggs,100.6
11,Beijing,North,2024-12-01,eggs,99.9
11,Beijing,North,2024-11-01,eggs,99.8
11,Beijing,North,2024-10-01,eggs,99
11,Beijing,North,2024-09-01,eggs,100.9
11,Beijing,North,2024-08-01,eggs,102.5
11,Beijing,North,2024-07-01,eggs,101.9
11,Beijing,North,2024-06-01,eggs,100.7
11,Beijing,North,2024-05-01,eggs,100.9
11,Beijing,North,2024-04-01,eggs,97.9
11,Beijing,North,2024-03-01,eggs,96.8
11,Beijing,North,2024-02-01,eggs,98.9
11,Beijing,North,2024-01-01,eggs,99
11,Beijing,North,2023-12-01,eggs,99.7
11,Beijing,North,2023-11-01,eggs,97.7
11,Beijing,North,2023-10-01,eggs,95.9
11,Beijing,North,2023-09-01,eggs,102.2
11,Beijing,North,2023-08-01,eggs,104.3
11,Beijing,North,2023-07-01,eggs,100.2
11,Beijing,North,2023-06-01,eggs,98.8
11,Beijing,North,2023-05-01,eggs,97.7
11,Beijing,North,2023-04-01,eggs,100.7
11,Beijing,North,2023-03-01,eggs,101.3
