provcd,province_name,region,date,commodity,cpi_index
34,Anhui,East,2015-12-01,headline,100.6
34,Anhui,East,2015-11-01,headline,99.7
34,Anhui,East,2015-10-01,headline,99.8
34,Anhui,East,2015-09-01,headline,100
34,Anhui,East,2015-08-01,headline,100.5
34,Anhui,East,2015-07-01,headline,100.2
34,Anhui,East,2015-06-01,headline,99.6
34,Anhui,East,2015-05-01,headline,99.9
34,Anhui,East,2015-04-01,headline,100
34,Anhui,East,2015-03-01,headline,99.5
34,Anhui,East,2015-02-01,headline,101.3
34,Anhui,East,2015-01-01,headline,100.2
34,Anhui,East,2014-12-01,headline,100.2
34,Anhui,East,2014-11-01,headline,99.5
34,Anhui,East,2014-10-01,headline,100.2
34,Anhui,East,2014-09-01,headline,100.7
34,Anhui,East,2014-08-01,headline,100.3
34,Anhui,East,2014-07-01,headline,99.8
34,Anhui,East,2014-06-01,headline,99.5
34,Anhui,East,2014-05-01,headline,100.5
34,Anhui,East,2014-04-01,headline,99.7
34,Anhui,East,2014-03-01,headline,99.4
34,Anhui,East,2014-02-01,headline,100.5
34,Anhui,East,2014-01-01,headline,101
34,Anhui,East,2013-12-01,headline,100.1
34,Anhui,East,2013-11-01,headline,99.8
34,Anhui,East,2013-10-01,headline,100.1
34,Anhui,East,2013-09-01,headline,101
34,Anhui,East,2013-08-01,headline,100.5
34,Anhui,East,2013-07-01,headline,99.6
34,Anhui,East,2013-06-01,headline,100.2
34,Anhui,East,2013-05-01,headline,99.8
34,Anhui,East,2013-04-01,headline,100.4
34,Anhui,East,2013-03-01,headline,99
34,Anhui,East,2013-02-01,headline,100.8
34,Anhui,East,2013-01-01,headline,101
34,Anhui,East,2012-12-01,headline,100.8
34,Anhui,East,2012-11-01,headline,100.1
34,Anhui,East,2012-10-01,headline,99.9
34,Anhui,East,2012-09-01,headline,100.7
34,Anhui,East,2012-08-01,headline,100.6
34,Anhui,East,2012-07-01,headline,99.9
34,Anhui,East,2012-06-01,headline,99.1
34,Anhui,East,2012-05-01,headline,100.1
34,Anhui,East,2012-04-01,headline,99.8
34,Anhui,East,2012-03-01,headline,100.2
34,Anhui,East,2012-02-01,headline,99.6
34,Anhui,East,2012-01-01,headline,101.4
11,Beijing,North,2015-12-01,headline,100.2
11,Beijing,North,2015-11-01,headline,99.9
11,Beijing,North,2015-10-01,headline,99.4
11,Beijing,North,2015-09-01,headline,100.7
11,Beijing,North,2015-08-01,headline,100.1
11,Beijing,North,2015-07-01,headline,100.6
11,Beijing,North,2015-06-01,headline,99.8
11,Beijing,North,2015-05-01,headline,99.5
11,Beijing,North,2015-04-01,headline,99.9
11,Beijing,North,2015-03-01,headline,99.7
11,Beijing,North,2015-02-01,headline,101.4
11,Beijing,North,2015-01-01,headline,100.8
11,Beijing,North,2014-12-01,headline,100.1
11,Beijing,North,2014-11-01,headline,99.9
11,Beijing,North,2014-10-01,headline,99.8
11,Beijing,North,2014-09-01,headline,101
11,Beijing,North,2014-08-01,headline,99.7
11,Beijing,North,2014-07-01,headline,100
11,Beijing,North,2014-06-01,headline,99.8
11,Beijing,North,2014-05-01,headline,99.7
11,Beijing,North,2014-04-01,headline,99.6
