provcd,province_name,region,date,commodity,cpi_index
34,Anhui,East,2025-12-01,meat,98.9
34,Anhui,East,2025-11-01,meat,98.6
34,Anhui,East,2025-10-01,meat,98.8
34,Anhui,East,2025-09-01,meat,99.5
34,Anhui,East,2025-08-01,meat,100
34,Anhui,East,2025-07-01,meat,100.6
34,Anhui,East,2025-06-01,meat,99.4
34,Anhui,East,2025-05-01,meat,99.8
34,Anhui,East,2025-04-01,meat,99.6
34,Anhui,East,2025-03-01,meat,97.4
34,Anhui,East,2025-02-01,meat,99
34,Anhui,East,2025-01-01,meat,100.8
34,Anhui,East,2024-12-01,meat,97.5
34,Anhui,East,2024-11-01,meat,97.8
34,Anhui,East,2024-10-01,meat,97.3
34,Anhui,East,2024-09-01,meat,100.3
34,Anhui,East,2024-08-01,meat,104.1
34,Anhui,East,2024-07-01,meat,100.8
34,Anhui,East,2024-06-01,meat,105.9
34,Anhui,East,2024-05-01,meat,99.2
34,Anhui,East,2024-04-01,meat,99.3
34,Anhui,East,2024-03-01,meat,94.6
34,Anhui,East,2024-02-01,meat,105.1
34,Anhui,East,2024-01-01,meat,99.9
34,Anhui,East,2023-12-01,meat,100.2
34,Anhui,East,2023-11-01,meat,97.3
34,Anhui,East,2023-10-01,meat,98.1
34,Anhui,East,2023-09-01,meat,100.7
34,Anhui,East,2023-08-01,meat,106.7
34,Anhui,East,2023-07-01,meat,99.7
34,Anhui,East,2023-06-01,meat,98.7
34,Anhui,East,2023-05-01,meat,99
34,Anhui,East,2023-04-01,meat,98.1
34,Anhui,East,2023-03-01,meat,97.8
34,Anhui,East,2023-02-01,meat,93.9
34,Anhui,East,2023-01-01,meat,94.3
34,Anhui,East,2022-12-01,meat,94.2
34,Anhui,East,2022-11-01,meat,98.6
34,Anhui,East,2022-10-01,meat,106.8
34,Anhui,East,2022-09-01,meat,103
34,Anhui,East,2022-08-01,meat,99.6
34,Anhui,East,2022-07-01,meat,114
34,Anhui,East,2022-06-01,meat,102.9
34,Anhui,East,2022-05-01,meat,100.9
34,Anhui,East,2022-04-01,meat,101.1
34,Anhui,East,2022-03-01,meat,93.7
34,Anhui,East,2022-02-01,meat,98.1
34,Anhui,East,2022-01-01,meat,99.8
34,Anhui,East,2021-12-01,meat,100.5
34,Anhui,East,2021-11-01,meat,106.3
34,Anhui,East,2021-10-01,meat,99.5
34,Anhui,East,2021-09-01,meat,98.6
34,Anhui,East,2021-08-01,meat,99.5
34,Anhui,East,2021-07-01,meat,99.2
34,Anhui,East,2021-06-01,meat,91.2
34,Anhui,East,2021-05-01,meat,93
34,Anhui,East,2021-04-01,meat,92.6
34,Anhui,East,2021-03-01,meat,92.8
34,Anhui,East,2021-02-01,meat,97.1
34,Anhui,East,2021-01-01,meat,104.6
34,Anhui,East,2020-12-01,meat,106.9
34,Anhui,East,2020-11-01,meat,94
34,Anhui,East,2020-10-01,meat,94.8
34,Anhui,East,2020-09-01,meat,98.8
34,Anhui,East,2020-08-01,meat,100.5
34,Anhui,East,2020-07-01,meat,109.2
34,Anhui,East,2020-06-01,meat,105.3
34,Anhui,East,2020-05-01,meat,93.8
34,Anhui,East,2020-04-01,meat,94
34,Anhui,East,2020-03-01,meat,90.8
34,Anhui,East,2020-02-01,meat,105.6
34,Anhui,East,2020-01-01,meat,112
34,Anhui,East,2019-12-01,meat,95.7
34,Anhui,East,2019-11-01,meat,101
34,Anhui,East,2019-10-01,meat,115.7
34,Anhui,East,2019-09-01,meat,116.4
34,Anhui,East,2019-08-01,meat,119.8
34,Anhui,East,2019-07-01,meat,103.5
34,Anhui,East,2019-06-01,meat,100.6
34,Anhui,East,2019-05-01,meat,98.9
34,Anhui,East,2019-04-01,meat,101.2
34,Anhui,East,2019-03-01,meat,101.7
34,Anhui,East,2019-02-01,meat,103.6
34,Anhui,East,2019-01-01,meat,99.8
34,Anhui,East,2018-12-01,meat,99.9
34,Anhui,East,2018-11-01,meat,98
34,Anhui,East,2018-10-01,meat,101.6
34,Anhui,East,2018-09-01,meat,103.9
34,Anhui,East,2018-08-01,meat,104.9
34,Anhui,East,2018-07-01,meat,103.9
34,Anhui,East,2018-06-01,meat,101.2
34,Anhui,East,2018-05-01,meat,96.9
34,Anhui,East,2018-04-01,meat,93.9
34,Anhui,East,2018-03-01,meat,91.9
34,Anhui,East,2018-02-01,meat,102.5
34,Anhui,East,2018-01-01,meat,102.8
34,Anhui,East,2017-12-01,meat,101.4
34,Anhui,East,2017-11-01,meat,98.8
34,Anhui,East,2017-10-01,meat,100.3
34,Anhui,East,2017-09-01,meat,101.1
34,Anhui,East,2017-08-01,meat,101.6
34,Anhui,East,2017-07-01,meat,99.3
34,Anhui,East,2017-06-01,meat,96.5
34,Anhui,East,2017-05-01,meat,96.1
34,Anhui,East,2017-04-01,meat,98
34,Anhui,East,2017-03-01,meat,97.1
34,Anhui,East,2017-02-01,meat,99.4
34,Anhui,East,2017-01-01,meat,104.7
34,Anhui,East,2016-12-01,meat,99.9
34,Anhui,East,2016-11-01,meat,98.3
34,Anhui,East,2016-10-01,meat,97.3
34,Anhui,East,2016-09-01,meat,99.4
34,Anhui,East,2016-08-01,meat,99.4
34,Anhui,East,2016-07-01,meat,97.7
34,Anhui,East,2016-06-01,meat,100.4
34,Anhui,East,2016-05-01,meat,100.7
34,Anhui,East,2016-04-01,meat,102.4
34,Anhui,East,2016-03-01,meat,98.2
34,Anhui,East,2016-02-01,meat,107.3
34,Anhui,East,2016-01-01,meat,103
11,Beijing,North,2025-12-01,meat,98.9
11,Beijing,North,2025-11-01,meat,99.4
11,Beijing,North,2025-10-01,meat,99.4
11,Beijing,North,2025-09-01,meat,101.3
11,Beijing,North,2025-08-01,meat,99.1
11,Beijing,North,2025-07-01,meat,100.2
11,Beijing,North,2025-06-01,meat,99.9
11,Beijing,North,2025-05-01,meat,99.2
11,Beijing,North,2025-04-01,meat,100.5
11,Beijing,North,2025-03-01,meat,98.9
11,Beijing,North,2025-02-01,meat,99.5
11,Beijing,North,2025-01-01,meat,99.6
11,Beijing,North,2024-12-01,meat,99.1
11,Beijing,North,2024-11-01,meat,98.2
11,Beijing,North,2024-10-01,meat,98.5
11,Beijing,North,2024-09-01,meat,101.2
11,Beijing,North,2024-08-01,meat,101.7
11,Beijing,North,2024-07-01,meat,100.7
11,Beijing,North,2024-06-01,meat,102.7
11,Beijing,North,2024-05-01,meat,99.8
11,Beijing,North,2024-04-01,meat,99.8
11,Beijing,North,2024-03-01,meat,96.9
11,Beijing,North,2024-02-01,meat,102.3
11,Beijing,North,2024-01-01,meat,99.1
11,Beijing,North,2023-12-01,meat,99.3
11,Beijing,North,2023-11-01,meat,97.8
11,Beijing,North,2023-10-01,meat,98.8
11,Beijing,North,2023-09-01,meat,99.9
11,Beijing,North,2023-08-01,meat,103
11,Beijing,North,2023-07-01,meat,99.4
11,Beijing,North,2023-06-01,meat,99.2
11,Beijing,North,2023-05-01,meat,99.5
11,Beijing,North,2023-04-01,meat,98.7
11,Beijing,North,2023-03-01,meat,97.9
11,Beijing,North,2023-02-01,meat,94.6
11,Beijing,North,2023-01-01,meat,95.6
11,Beijing,North,2022-12-01,meat,98.4
11,Beijing,North,2022-11-01,meat,100
11,Beijing,North,2022-10-01,meat,104.5
11,Beijing,North,2022-09-01,meat,102.2
11,Beijing,North,2022-08-01,meat,98.8
11,Beijing,North,2022-07-01,meat,106.4
11,Beijing,North,2022-06-01,meat,101
11,Beijing,North,2022-05-01,meat,102.3
11,Beijing,North,2022-04-01,meat,100.4
11,Beijing,North,2022-03-01,meat,97.3
11,Beijing,North,2022-02-01,meat,99.4
11,Beijing,North,2022-01-01,meat,98.6
11,Beijing,North,2021-12-01,meat,100.4
11,Beijing,North,2021-11-01,meat,103.2
11,Beijing,North,2021-10-01,meat,99.7
11,Beijing,North,2021-09-01,meat,99.4
11,Beijing,North,2021-08-01,meat,99
11,Beijing,North,2021-07-01,meat,98
11,Beijing,North,2021-06-01,meat,94.6
11,Beijing,North,2021-05-01,meat,96.6
11,Beijing,North,2021-04-01,meat,95.5
11,Beijing,North,2021-03-01,meat,96.3
11,Beijing,North,2021-02-01,meat,98.8
11,Beijing,North,2021-01-01,meat,103.4
11,Beijing,North,2020-12-01,meat,102.5
11,Beijing,North,2020-11-01,meat,97.4
11,Beijing,North,2020-10-01,meat,96.5
11,Beijing,North,2020-09-01,meat,99.3
11,Beijing,North,2020-08-01,meat,99.6
11,Beijing,North,2020-07-01,meat,105.1
11,Beijing,North,2020-06-01,meat,101.1
11,Beijing,North,2020-05-01,meat,95.5
11,Beijing,North,2020-04-01,meat,96.4
11,Beijing,North,2020-03-01,meat,99.9
11,Beijing,North,2020-02-01,meat,103.1
11,Beijing,North,2020-01-01,meat,101.6
11,Beijing,North,2019-12-01,meat,96.9
11,Beijing,North,2019-11-01,meat,107.7
11,Beijing,North,2019-10-01,meat,112.6
11,Beijing,North,2019-09-01,meat,110.8
11,Beijing,North,2019-08-01,meat,106.4
11,Beijing,North,2019-07-01,meat,102.8
11,Beijing,North,2019-06-01,meat,102.5
11,Beijing,North,2019-05-01,meat,99.7
11,Beijing,North,2019-04-01,meat,101.2
11,Beijing,North,2019-03-01,meat,100.4
11,Beijing,North,2019-02-01,meat,100.3
11,Beijing,North,2019-01-01,meat,100.1
11,Beijing,North,2018-12-01,meat,100.9
11,Beijing,North,2018-11-01,meat,99.6
11,Beijing,North,2018-10-01,meat,100.9
11,Beijing,North,2018-09-01,meat,102.7
11,Beijing,North,2018-08-01,meat,102.3
11,Beijing,North,2018-07-01,meat,101.2
11,Beijing,North,2018-06-01,meat,100.4
11,Beijing,North,2018-05-01,meat,98.7
11,Beijing,North,2018-04-01,meat,97.7
11,Beijing,North,2018-03-01,meat,96.5
11,Beijing,North,2018-02-01,meat,101.1
11,Beijing,North,2018-01-01,meat,99.9
11,Beijing,North,2017-12-01,meat,101.3
11,Beijing,North,2017-11-01,meat,100.1
11,Beijing,North,2017-10-01,meat,100.4
11,Beijing,North,2017-09-01,meat,100.9
11,Beijing,North,2017-08-01,meat,100.4
11,Beijing,North,2017-07-01,meat,100
11,Beijing,North,2017-06-01,meat,99.3
11,Beijing,North,2017-05-01,meat,98.7
11,Beijing,North,2017-04-01,meat,99.2
11,Beijing,North,2017-03-01,meat,98.1
11,Beijing,North,2017-02-01,meat,99.6
11,Beijing,North,2017-01-01,meat,101.7
11,Beijing,North,2016-12-01,meat,100.8
11,Beijing,North,2016-11-01,meat,99.3
11,Beijing,North,2016-10-01,meat,99.2
11,Beijing,North,2016-09-01,meat,99.9
11,Beijing,North,2016-08-01,meat,99.6
11,Beijing,North,2016-07-01,meat,100.2
11,Beijing,North,2016-06-01,meat,100.4
11,Beijing,North,2016-05-01,meat,99.3
11,Beijing,North,2016-04-01,meat,102.1
11,Beijing,North,2016-03-01,meat,99.6
11,Beijing,North,2016-02-01,meat,102.6
11,Beijing,North,2016-01-01,meat,100.1
50,Chongqing,West,2025-12-01,meat,100.5
50,Chongqing,West,2025-11-01,meat,99.4
50,Chongqing,West,2025-10-01,meat,99
50,Chongqing,West,2025-09-01,meat,100.4
50,Chongqing,West,2025-08-01,meat,100.9
50,Chongqing,West,2025-07-01,meat,98.8
50,Chongqing,West,2025-06-01,meat,98.5
50,Chongqing,West,2025-05-01,meat,100.2
50,Chongqing,West,2025-04-01,meat,99.2
50,Chongqing,West,2025-03-01,meat,97.3
50,Chongqing,West,2025-02-01,meat,100.1
50,Chongqing,West,2025-01-01,meat,99
50,Chongqing,West,2024-12-01,meat,98.5
50,Chongqing,West,2024-11-01,meat,98.2
50,Chongqing,West,2024-10-01,meat,97.9
50,Chongqing,West,2024-09-01,meat,101.3
50,Chongqing,West,2024-08-01,meat,105.2
50,Chongqing,West,2024-07-01,meat,100.6
50,Chongqing,West,2024-06-01,meat,106
50,Chongqing,West,2024-05-01,meat,99.1
50,Chongqing,West,2024-04-01,meat,100.5
