provcd,province_name,region,prev_wave,wave,wave_pair,meat_shock,grain_shock,egg_shock,headline_cpi_next
11,Beijing,North,2010,2012,2010_2012,,0.00297055260859828,0.00417952897843059,0.0565093032009455
11,Beijing,North,2012,2014,2012_2014,,0.0723887247661773,0.0985206396126067,0.0305405067445096
11,Beijing,North,2014,2016,2014_2016,0.0404091711992238,0.0384238795984027,-0.0348057801674803,0.0466523659564993
11,Beijing,North,2016,2018,2016_2018,-0.0313557884317473,0.0154657235552939,0.0103801519816222,0.0416295065174443
11,Beijing,North,2018,2020,2018_2020,0.385977050088246,0.0363098403310077,-0.160454330268885,0.0348329561921621
11,Beijing,North,2020,2022,2020_2022,-0.192014069939509,0.0293160296151293,-0.00656537780804398,
12,Tianjin,North,2010,2012,2010_2012,,-0.010032121961757,0.0331827175919246,-0.0462656419885983
12,Tianjin,North,2012,2014,2012_2014,,0.130837180330038,0.125252534724192,0.0385946399798481
12,Tianjin,North,2014,2016,2014_2016,0.065263191299661,0.036558034309835,-0.0854444067081251,0.0475972263101627
12,Tianjin,North,2016,2018,2016_2018,-0.006833697190315,0.0316346189172152,-0.00204363081697211,0.0446189346992547
12,Tianjin,North,2018,2020,2018_2020,0.442348603096062,0.0295301146016323,-0.255852826693853,0.0366907211310462
12,Tianjin,North,2020,2022,2020_2022,-0.183915671358972,0.0512714999129187,0.0366421398963822,
13,Hebei,North,2010,2012,2010_2012,,0.00799101463822791,0.0210864420335722,0.0570627515657459
13,Hebei,North,2012,2014,2012_2014,,0.117016550921941,0.135555979545962,0.0244259714476515
13,Hebei,North,2014,2016,2014_2016,0.117345997391802,0.0168976747691962,-0.0923678880493939,0.0385929672798735
13,Hebei,North,2016,2018,2016_2018,-0.0639707841051036,0.00991304251577291,-0.0222178248012043,0.0524267589349941
13,Hebei,North,2018,2020,2018_2020,0.478910270676149,0.0298345448781307,-0.217712102224999,0.0326937134538974
13,Hebei,North,2020,2022,2020_2022,-0.242529466091708,0.0715420823773922,-0.00806080666216018,
14,Shanxi,North,2010,2012,2010_2012,,0.00698653024883583,0.0681418090300638,0.0532107378988883
14,Shanxi,North,2012,2014,2012_2014,,0.15207801804118,0.127908670807572,0.023461971315493
14,Shanxi,North,2014,2016,2014_2016,0.103039828347333,0.0298513773384942,-0.126849744141085,0.0246161785090173
14,Shanxi,North,2016,2018,2016_2018,-0.0764820318137994,0.011877291572558,-0.0419463124266311,0.0603000313202467
14,Shanxi,North,2018,2020,2018_2020,0.483078602625211,0.0148634526806163,-0.446672148406954,0.0376623377143605
14,Shanxi,North,2020,2022,2020_2022,-0.248386679531459,0.0854112897416577,-0.0278756771960095,
15,Inner Mongolia,North,2010,2012,2010_2012,,0.0149765548477132,0.0582942566976664,0.0525405607695576
15,Inner Mongolia,North,2012,2014,2012_2014,,0.111643020638403,0.11492704454901,0.0227555815709524
15,Inner Mongolia,North,2014,2016,2014_2016,0.0561791496234084,0.039926182767283,-0.0595571863778823,0.0307493796824126
15,Inner Mongolia,North,2016,2018,2016_2018,-0.0533547403849318,0.0249645681541017,-0.0076769452802689,0.0376266667330577
15,Inner Mongolia,North,2018,2020,2018_2020,0.391653806089732,0.0309187230723534,-0.161715059109565,0.0406577612598222
15,Inner Mongolia,North,2020,2022,2020_2022,-0.174346017180795,0.0527764642071838,0.00215253928067562,
21,Liaoning,Northeast,2010,2012,2010_2012,,0.00898057267679774,0.0153723216264765,0.04632010025804
21,Liaoning,Northeast,2012,2014,2012_2014,,0.114609677192869,0.111454987473958,0.0355409370193295
21,Liaoning,Northeast,2014,2016,2014_2016,0.0844095586082733,0.0439192198823466,-0.0930439238795907,0.0365522419560313
21,Liaoning,Northeast,2016,2018,2016_2018,-0.0833113449721618,0.0149825169673119,-0.0194210501572058,0.0424592362653559
