hhid,infl_exp,high_infl_exp,forecast_error_proxy,overreaction,media_salience,low_salience,high_media,risk_attitude,econ_outlook,interest_exp,house_price_exp,log_income,income_tercile,urban,province
201100001,4,1,0,0,2,0,1,5,2,2,4,10.8474129065069,2,1,11
201100002,4,1,0,0,1,0,0,5,2,2,4,11.5260469690176,3,1,11
201100003,4,1,0,0,2,0,1,5,1,3,2,10.3089859934221,2,1,11
201100004,3,0,-1,0,2,0,1,5,2,2,2,11.39425330369,3,1,11
201100005,4,1,0,0,3,0,1,5,3,2,3,10.3089859934221,2,1,11
201100006,5,1,1,1,3,1,1,3,3,1,4,10.8298643579064,2,1,11
201100007,4,1,0,0,2,2,1,5,3,2,2,10.2190644221814,2,1,11
201100008,3,0,-1,0,1,0,0,5,1,2,1,11.1360623908672,3,1,11
201100009,5,1,1,1,2,1,1,1,4,2,3,10.7893396952697,2,1,11
201100010,4,1,0,0,3,0,1,3,2,4,3,10.7872757536483,2,1,11
201100011,4,1,0,0,2,0,1,5,2,2,4,10.1887040880481,2,1,11
201100012,3,0,-1,0,2,1,1,5,3,3,3,10.2256072829329,2,1,11
201100013,4,1,0,0,2,1,1,5,2,2,2,11.1154434073529,3,1,11
201100014,3,0,-1,0,2,1,1,5,1,2,3,11.0429378355965,3,1,11
201100015,5,1,1,1,2,0,1,5,2,2,4,10.9187363480431,3,1,11
201100016,4,1,0,0,3,2,1,5,2,1,3,11.8913687499821,3,1,11
201100017,4,1,0,0,2,0,1,5,4,2,4,11.0790763143201,3,1,11
201100018,4,1,0,0,2,0,1,2,2,2,3,12.06105265381,3,1,11
201100019,5,1,1,1,1,0,0,1,3,2,3,12.7656912906044,3,1,11
201100020,5,1,1,1,2,0,1,1,3,2,2,11.6172944892629,3,1,11
201100021,5,1,1,1,3,2,1,2,2,1,4,11.1562648066437,3,1,11
201100022,4,1,0,0,1,0,0,5,2,2,4,10.586609649449,2,1,11
201100023,4,1,0,0,3,1,1,3,2,2,2,11.0381263557685,3,1,11
201100024,4,1,0,0,1,0,0,5,2,2,2,10.2119276780724,2,1,11
201100025,2,0,-2,0,3,0,1,2,2,2,3,11.8093269129406,3,1,11
201100026,4,1,0,0,1,0,0,5,3,2,4,0,1,1,11
201100027,4,1,0,0,1,0,0,5,1,2,2,0,1,1,11
201100028,3,0,-1,0,2,0,1,4,3,3,3,9.69282824771042,1,1,11
201100029,4,1,0,0,1,0,0,5,4,2,4,10.4282456668323,2,1,11
201100030,4,1,0,0,1,1,0,5,2,9,3,10.7789771230064,2,1,11
201100031,4,1,0,0,3,1,1,2,3,1,3,11.3503817189881,3,1,11
201100032,3,0,-1,0,0,1,0,5,3,3,3,10.2681653877435,2,1,11
201100033,5,1,1,1,2,1,1,5,4,2,3,10.524628397111,2,1,11
201100034,4,1,0,0,3,0,1,5,3,2,3,10.3089859934221,2,1,11
201100035,4,1,0,0,2,0,1,5,2,3,3,11.0251814006476,3,1,11
201100036,4,1,0,0,1,0,0,5,3,2,4,8.5173931714189,1,1,11
201100037,5,1,1,1,1,0,0,5,2,3,2,9.2687036152731,1,1,11
201100038,4,1,0,0,3,0,1,2,2,2,4,11.6516020359342,3,1,11
201100039,5,1,1,1,3,0,1,1,4,2,3,12.7570829407692,3,1,11
201100040,5,1,1,1,3,1,1,,9,4,4,11.1562648066437,3,1,11
