quarter,report_title,report_quarter,report_date,article_url,pdf_url,pdf_path,pdf_sha256,price_sentiment_index,infl_exp_index,income_sentiment_index,income_confidence_index,employment_sentiment_index,employment_expectation_index,price_up_share,price_same_share,price_down_share,price_uncertain_share,infl_exp_index_alt,pi_baseline,mu_cp,sigma_cp,mu_cp_lower,mu_cp_upper,delta_used,effective_sample_share,epu_qavg,gpr_qavg,CPI_YoY,Consumer_Confidence_Index,Ind_Value_Added_YoY,M2_YoY,PPI_YoY,Real_Estate_Climate_Index,CPI_MoM_Idx,CPI_MoM,CPI_Level,CPI_YoY_dup1,PPI_MoM_Idx,PPI_MoM,PPI_Level,PPI_YoY_Rate,CPI_QoQ_Ann,CPI_YoY_from_Level,GDP_level,GDP_yoy_pct,Food_CPI_YoY_qavg,CPI_YoY_rate,PPI_YoY_rate,mu_alt_index,CPI_QoQ_Ann_lead1,CPI_YoY_rate_lead1,FE_next_cp,FR_cp,FE_next_index,FR_index,msi_raw,media_congestion_iv,sample_main
2010Q4,2010年第4季度储户问卷调查报告,2010Q4,,https://www.pbc.gov.cn/goutongjiaoliu/113456/113469/2025092212542167951/index.html,https://www.pbc.gov.cn/eportal/fileDir/image_public/UserFiles/goutongjiaoliu/upload/File/2010年第4季度储户问卷调查报告.pdf,data\raw\pboc_depositor_survey\pdfs\2010年第4季度储户问卷调查报告.pdf,59182ef100adaa018056f0b3d1059de239f8a6f4e140d45f7baa152e967ad406,,,,,,,,,,,,0.766666666666666,,,,,0.5,1,105.651027883333,85.9670003255208,100.766666666667,54.6,13.3,19.5,105.676666666667,102.853333333333,100.766666666667,0.766666666666666,124.382514942425,4.6436382478114,105.676666666667,5.67666666666667,1898.7584333714,81.1428015691575,9.59399327547179,4.57399463956896,121260.4,18.3089467065126,10.6969400012973,0.766666666666666,5.67666666666668,,8.2753784302833,0.666666666666671,,,,,,0.462370796858708,0
2011Q1,2011年第1季度储户问卷调查报告,2011Q1,,https://www.pbc.gov.cn/goutongjiaoliu/113456/113469/2025092212540950844/index.html,https://www.pbc.gov.cn/eportal/fileDir/image_public/UserFiles/goutongjiaoliu/upload/File/2011年第1季度储户问卷调查.pdf,data\raw\pboc_depositor_survey\pdfs\2011年第1季度储户问卷调查报告.pdf,c9ee21ea311084f20f188de142a8db76914170b036b0f856ae27a6842a4761b8,,,,,,,,,,,,0.666666666666671,,,,,0.5,1,111.607941493333,102.108136494954,100.666666666667,52.8333333333333,9.9,16.51,107.061266666667,102.94,100.666666666667,0.666666666666667,126.879588460605,5.16601231967659,107.061266666667,7.06126666666667,2330.03168749236,98.3146436899364,8.2753784302833,5.51844533683368,106218.9,19.1796914446003,11.3480268471846,0.666666666666671,7.06126666666667,,2.01789352066031,0.166666666666671,,,,,,-0.158145333219028,0
2011Q2,2011年第2季度储户问卷调查报告,2011Q2,,https://www.pbc.gov.cn/goutongjiaoliu/113456/113469/2025092212541039078/index.html,https://www.pbc.gov.cn/eportal/fileDir/image_public/UserFiles/goutongjiaoliu/upload/File/2011年第2季度储户问卷调查报告.pdf,data\raw\pboc_depositor_survey\pdfs\2011年第2季度储户问卷调查报告.pdf,66e0300fa9b465697244fa40df7b81bfe6fe249aed503af9645542c8d2de33da,,,,,,,,,,,,0.166666666666671,,,,,0.5,1,103.983112616667,93.5848439534505,100.166666666667,51.9333333333333,13.9333333333333,15.4333333333333,106.909,102.713333333333,100.166666666667,0.166666666666662,127.514874940666,5.87261428458093,106.909,6.909,2847.10404335891,101.234900182192,2.01789352066031,6.58053052710383,120776.8,19.492258224091,12.6277553358265,0.166666666666671,6.90899999999999,,5.32518391135717,0.433333333333337,,,,,,0.169516886333391,0
2011Q3,2011年第3季度储户问卷调查报告,2011Q3,,https://www.pbc.gov.cn/goutongjiaoliu/113456/113469/2025092212541155300/index.html,https://www.pbc.gov.cn/eportal/fileDir/image_public/UserFiles/goutongjiaoliu/upload/File/2011%E5%B9%B4%E7%AC%AC3%E5%AD%A3%E5%BA%A6%E5%82%A8%E6%88%B7%E9%97%AE%E5%8D%B7%E8%B0%83%E6%9F%A5%E6%8A%A5%E5%91%8A.pdf,data\raw\pboc_depositor_survey\pdfs\2011年第3季度储户问卷调查报告.pdf,c86b43febb38d5765c4b7d8834ed191356118edce86bb8c2f9fb38b464a9bd85,,,,,,,14.8,74.8,69.2,13,,0.433333333333337,-6.49427988059392,7.78811632295071,-7.6301297739762,-5.81379010619218,0.5,0.87,127.54044813,83.0755920410156,100.433333333333,50.9333333333333,13.7666666666667,13.7666666666667,107.105666666667,101.01,100.433333333333,0.433333333333332,129.179591196632,6.43934095557867,107.105666666667,7.10566666666667,3498.08397127143,112.488837597091,5.32518391135717,6.26280115111702,128561.5,19.2671316942025,13.8470491342322,0.433333333333337,7.10566666666666,,0.800388778251326,0.0666666666666629,7.29466865884525,,,,,0.573525641247759,0
2011Q4,2011年第4季度储户问卷调查报告,2011Q4,,https://www.pbc.gov.cn/goutongjiaoliu/113456/113469/2025092212541952593/index.html,https://www.pbc.gov.cn/eportal/fileDir/image_public/UserFiles/goutongjiaoliu/upload/File/2011年第4季度储户问卷调查报告.pdf,data\raw\pboc_depositor_survey\pdfs\2011年第4季度储户问卷调查报告.pdf,8b24baecc11f0859d5324a51fc9dd5eeafd53fba30a863d679e0b8c2c33a385a,,,,,,,,,,,,0.0666666666666629,,,,,0.5,1,159.728718666667,81.6129786173503,100.066666666667,49.9,12.8,13.0666666666667,103.1357,99.6766666666667,100.066666666667,0.0666666666666629,129.437303705992,4.65499136596757,103.1357,3.1357,3836.54220274558,109.961044776392,0.800388778251326,4.06390622179249,140150.3,15.5779627974178,9.85225039625971,0.0666666666666629,3.1357,,6.56068608742306,0.533333333333346,,,,,,0.629753109495704,0
2012Q1,2012年第1季度储户问卷调查报告,2012Q1,,https://www.pbc.gov.cn/goutongjiaoliu/113456/113469/2025092212541313392/index.html,https://www.pbc.gov.cn/eportal/fileDir/image_public/UserFiles/goutongjiaoliu/upload/File/2012年第1季度储户问卷调查报告.pdf,data\raw\pboc_depositor_survey\pdfs\2012年第1季度储户问卷调查报告.pdf,b24fe77d1091e7aef65cdda2c5158833bd0c7bbbfba3628146964311085527b6,,,,,,,,,,,,0.533333333333346,,,,,0.5,1,132.127128666667,86.9469248453776,100.533333333333,51.5333333333333,11.0666666666667,12.9333333333333,100.148666666667,97.405,100.533333333333,0.533333333333336,131.509979367117,3.82139275848935,100.148666666667,0.148666666666671,3853.56832444661,78.0950413168827,6.56068608742306,3.64943720474731,119377.5,12.3881908022019,8.11694317912011,0.533333333333346,0.148666666666671,,-3.92992632882067,-0.333333333333329,,,,,,0.424699410876519,0
2012Q2,2012年第2季度储户问卷调查报告,2012Q2,,https://www.pbc.gov.cn/goutongjiaoliu/113456/113469/2025092212542246608/index.html,https://www.pbc.gov.cn/eportal/fileDir/image_public/UserFiles/goutongjiaoliu/upload/File/2012年第2季度储户问卷调查报告(2).pdf,data\raw\pboc_depositor_survey\pdfs\2012年第2季度储户问卷调查报告.pdf,ca9fc7670b53ba28c75d02549ffe32a3756f861633e0156bc6713ad3ca4d89ca,18.2,65.5,50.1,53.2,40.1,48.9,18.2,65.5,8.4,50.1,65.5,-0.333333333333329,,,,,0.5,0.499,132.834837333333,84.0034255981445,99.6666666666667,51.3,9.46666666666667,13.2133333333333,98.6064,95.0766666666667,99.6666666666667,-0.333333333333329,130.198427975709,2.85861225759811,98.6064,-1.3936,3694.51067959768,41.8239506746938,-3.92992632882067,2.10450195421625,133491.2,10.5271873406151,5.77739047386266,-0.333333333333329,-1.39359999999999,65.5,3.23819225579853,0.266666666666666,,,-62.2618077442015,,-0.084450317283607,0.537856795995332,0
2012Q4,2012年第4季度储户问卷调查报告,2012Q4,,https://www.pbc.gov.cn/goutongjiaoliu/113456/113469/2025092212541549706/index.html,https://www.pbc.gov.cn/eportal/fileDir/image_public/UserFiles/goutongjiaoliu/upload/File/2012第4季度储户问卷调查报告.pdf,data\raw\pboc_depositor_survey\pdfs\2012年第4季度储户问卷调查报告.pdf,9236ca6bdf6367e910b5d2941a5b6420d5719d761b8f74dd9ced15540dba400d,22,70.2,51.8,56.3,40.6,51.2,22,41.7,5.3,51.8,70.2,0.266666666666666,,,,,0.5,0.482,125.833729766667,79.2949549357097,100.266666666667,50.4666666666667,10,13.9333333333333,97.7016666666667,95.2866666666667,100.266666666667,0.266666666666666,132.555828840284,1.96883937101637,97.7016666666667,-2.29833333333333,3115.56420529098,-15.3796463441064,3.23819225579853,2.40929395545511,154258,10.0661218705918,3.11515411741274,0.266666666666666,-2.29833333333333,70.2,4.85393547156152,0.399999999999991,,,-65.3460645284385,4.7,0.436781229391448,0.718865243193208,0
2013Q1,2013年第1季度储户问卷调查报告,2013Q1,,https://www.pbc.gov.cn/goutongjiaoliu/113456/113469/2025092212541615422/index.html,https://www.pbc.gov.cn/eportal/fileDir/image_public/UserFiles/goutongjiaoliu/upload/File/2013第1季度储户问卷调查报告.pdf,data\raw\pboc_depositor_survey\pdfs\2013年第1季度储户问卷调查报告.pdf,4627f71d2bea3836e263fc50678feed2b82f2b88f1ffff882c2799106727fe62,20,66.9,54.6,55.8,41.9,52,20,66.9,54.6,41.9,66.9,0.399999999999991,1.24808827712319,-0.868191818773855,1.767391934216,0.176187572597795,0.5,0.581,101.647455666667,82.714848836263,100.4,50.4666666666667,2.96666666666667,15.6,98.2728,97.74,100.4,0.399999999999996,134.135895645619,2.34348472860684,98.2728,-1.7272,2956.89193736581,-21.9962524039165,4.85393547156152,1.99674297809118,131879.7,10.4728277941823,3.91070743968296,0.399999999999991,-1.7272,66.9,-1.59516811878331,-0.133333333333326,-2.8432563959065,,-68.4951681187833,-3.3,-0.0805697480793727,0.587393746628645,0
2013Q2,2013年第2季度储户问卷调查报告,2013Q2,,https://www.pbc.gov.cn/goutongjiaoliu/113456/113469/2025092212541680865/index.html,https://www.pbc.gov.cn/eportal/fileDir/image_public/UserFiles/goutongjiaoliu/upload/File/2013年第2季度储户问卷调查报告.pdf,data\raw\pboc_depositor_survey\pdfs\2013年第2季度储户问卷调查报告.pdf,7b4f533a6dd8df41c5d7f48be78a3f01810b9996c729b0d976b58aded7e44e72,21.8,66.8,50.7,53.8,38.3,48.2,21.8,51.8,11.4,53.8,66.8,-0.133333333333326,,,,,0.5,0.462,97.96971666,87.2660649617513,99.8666666666667,50.5,9.13333333333333,15.3,97.2734,97.3,99.8666666666667,-0.133333333333331,133.597742432288,2.30303950355091,97.2734,-2.7266,2721.55429167234,-25.6528471000211,-1.59516811878331,2.61087211991065,146113.9,9.45582929811102,4.10410748296283,-0.133333333333326,-2.72660000000001,66.8,5.74082278242332,0.466666666666654,,,-61.0591772175767,-0.100000000000009,-0.111565159581324,0.412430659291375,0
