数据库：月度数据
时间：2000-
指标,2025年11月,2025年10月,2025年9月,2025年8月,2025年7月,2025年6月,2025年5月,2025年4月,2025年3月,2025年2月,2025年1月,2024年12月,2024年11月,2024年10月,2024年9月,2024年8月,2024年7月,2024年6月,2024年5月,2024年4月,2024年3月,2024年2月,2024年1月,2023年12月,2023年11月,2023年10月,2023年9月,2023年8月,2023年7月,2023年6月,2023年5月,2023年4月,2023年3月,2023年2月,2023年1月,2022年12月,2022年11月,2022年10月,2022年9月,2022年8月,2022年7月,2022年6月,2022年5月,2022年4月,2022年3月,2022年2月,2022年1月,2021年12月,2021年11月,2021年10月,2021年9月,2021年8月,2021年7月,2021年6月,2021年5月,2021年4月,2021年3月,2021年2月,2021年1月,2020年12月,2020年11月,2020年10月,2020年9月,2020年8月,2020年7月,2020年6月,2020年5月,2020年4月,2020年3月,2020年2月,2020年1月,2019年12月,2019年11月,2019年10月,2019年9月,2019年8月,2019年7月,2019年6月,2019年5月,2019年4月,2019年3月,2019年2月,2019年1月,2018年12月,2018年11月,2018年10月,2018年9月,2018年8月,2018年7月,2018年6月,2018年5月,2018年4月,2018年3月,2018年2月,2018年1月,2017年12月,2017年11月,2017年10月,2017年9月,2017年8月,2017年7月,2017年6月,2017年5月,2017年4月,2017年3月,2017年2月,2017年1月,2016年12月,2016年11月,2016年10月,2016年9月,2016年8月,2016年7月,2016年6月,2016年5月,2016年4月,2016年3月,2016年2月,2016年1月,2015年12月,2015年11月,2015年10月,2015年9月,2015年8月,2015年7月,2015年6月,2015年5月,2015年4月,2015年3月,2015年2月,2015年1月,2014年12月,2014年11月,2014年10月,2014年9月,2014年8月,2014年7月,2014年6月,2014年5月,2014年4月,2014年3月,2014年2月,2014年1月,2013年12月,2013年11月,2013年10月,2013年9月,2013年8月,2013年7月,2013年6月,2013年5月,2013年4月,2013年3月,2013年2月,2013年1月,2012年12月,2012年11月,2012年10月,2012年9月,2012年8月,2012年7月,2012年6月,2012年5月,2012年4月,2012年3月,2012年2月,2012年1月,2011年12月,2011年11月,2011年10月,2011年9月,2011年8月,2011年7月,2011年6月,2011年5月,2011年4月,2011年3月,2011年2月,2011年1月,2010年12月,2010年11月,2010年10月,2010年9月,2010年8月,2010年7月,2010年6月,2010年5月,2010年4月,2010年3月,2010年2月,2010年1月,2009年12月,2009年11月,2009年10月,2009年9月,2009年8月,2009年7月,2009年5月,2009年4月,2009年2月,2009年1月,2008年12月,2008年11月,2008年10月,2008年9月,2008年8月,2008年7月,2008年6月,2008年5月,2008年4月,2008年3月,2008年2月,2008年1月,2007年12月,2007年11月,2007年9月,2007年8月,2007年7月,2007年6月,2007年5月,2007年4月,2007年3月,2007年2月,2007年1月,2006年12月
食品类居民消费价格指数(上月=100),100.5,100.3,100.7,100.5,99.8,99.6,99.8,100.2,98.6,99.5,101.3,99.4,97.3,98.8,100.8,103.4,101.2,99.4,100.0,99.0,96.8,103.3,100.4,100.9,99.1,99.2,100.3,100.5,99.0,99.5,99.3,99.0,98.6,98.0,102.8,100.5,99.2,100.1,101.9,100.5,103.0,98.4,98.7,100.9,98.8,101.4,101.4,99.4,102.4,101.7,99.3,100.8,99.6,97.8,98.3,97.6,96.4,101.6,104.1,102.8,97.6,98.2,100.4,101.4,102.8,100.2,96.5,97.0,96.2,104.3,104.4,99.6,101.8,103.6,103.5,103.2,100.9,99.7,100.2,99.9,99.1,103.2,101.6,101.1,98.8,99.7,102.4,102.4,100.1,99.2,98.7,98.1,95.8,104.4,102.2,101.1,99.5,100.0,100.5,101.2,99.9,99.0,99.3,99.4,98.1,99.4,102.3,100.4,100.2,99.0,101.7,100.4,99.8,98.6,97.3,98.6,98.2,106.7,102.0,101.5,100.0,99.0,99.9,101.6,100.7,99.9,99.1,99.1,98.4,102.9,100.7,101.2,99.6,99.8,100.8,100.7,99.9,99.6,100.2,98.7,98.4,101.7,102.4,100.6,99.8,99.6,101.5,101.2,100.0,100.0,98.4,100.4,97.1,102.7,102.8,102.4,100.4,99.2,100.2,101.5,99.9,98.4,99.2,99.1,100.2,99.7,104.2,101.2,99.2,99.8,101.1,100.6,101.2,100.9,99.7,99.6,99.0,103.7,102.8,100.9,102.0,101.1,101.2,102.0,100.9,98.4,99.5,99.9,98.5,103.3,101.8,102.9,100.5,99.2,100.7,101.3,99.8,99.4,99.2,100.8,103.3,100.8,99.0,99.1,99.7,99.6,99.9,99.2,98.7,99.9,98.2,107.1,103.3,102.5,101.4,100.3,103.3,102.4,101.3,100.6,99.4,99.6,102.7,102.0,103.8
粮食类居民消费价格指数(上月=100),100.0,100.0,99.9,100.1,100.0,100.0,99.8,99.9,100.0,100.0,99.9,100.0,99.7,100.0,99.8,99.9,99.7,99.9,99.8,99.8,100.1,99.9,100.0,100.1,100.1,100.0,100.4,100.2,99.9,100.0,99.8,99.8,99.9,100.1,100.0,100.2,100.2,100.2,100.2,100.0,100.1,100.0,100.5,100.7,100.5,100.1,99.9,100.6,100.7,100.2,99.9,100.1,100.0,100.0,100.0,100.1,100.0,100.3,100.3,100.0,100.1,100.1,100.0,100.0,100.0,100.1,100.3,100.4,100.0,100.4,99.9,100.0,100.2,100.1,100.0,100.1,100.0,100.0,100.0,100.0,100.0,100.2,100.1,100.0,100.1,100.1,100.1,100.0,99.9,99.9,99.9,100.0,100.0,100.1,100.1,100.1,100.0,100.1,100.1,100.1,100.0,100.2,100.1,100.1,100.1,100.2,100.2,100.3,100.2,100.1,100.0,100.1,100.0,100.0,100.1,100.0,99.9,100.3,99.9,100.1,100.0,100.1,100.0,100.1,100.1,100.0,100.1,100.2,100.1,100.2,100.1,100.1,100.1,100.3,100.4,100.3,100.3,100.4,100.3,100.2,100.2,100.2,100.2,100.3,100.4,100.3,100.3,100.2,100.2,100.1,100.1,100.2,100.3,100.6,100.9,100.4,100.2,100.5,101.0,100.6,100.2,100.1,100.2,100.2,100.2,100.2,100.3,100.1,100.2,100.4,100.5,100.5,100.4,100.3,100.5,100.6,101.2,100.9,101.1,102.1,102.7,100.7,100.7,100.6,100.4,100.8,101.5,101.8,101.2,100.9,101.3,101.3,100.5,100.5,100.6,100.4,100.4,100.8,100.4,101.0,100.2,99.8,99.8,99.9,100.3,,100.4,100.5,101.2,100.5,100.4,100.4,100.6,101.2,100.8,100.6,100.9,,100.5,100.1,99.9,99.8,100.1,100.4,102.3
畜肉类居民消费价格指数(上月=100),99.0,99.1,99.9,99.9,100.4,99.4,99.8,99.9,97.8,99.1,100.4,98.7,98.1,98.0,100.4,103.6,100.8,104.5,99.6,99.2,96.1,103.4,99.5,99.4,98.4,99.0,100.3,104.7,99.4,98.8,98.7,98.1,97.6,94.1,94.7,95.4,100.1,105.2,103.0,100.6,111.8,101.0,101.9,100.4,95.1,98.5,99.2,100.5,105.2,98.7,97.7,99.1,98.3,92.4,94.0,93.9,93.5,99.0,103.7,104.3,95.3,95.5,99.2,101.4,107.4,102.2,94.3,94.5,94.8,107.1,106.1,96.2,104.8,114.7,115.0,115.0,104.9,102.2,99.8,100.9,99.9,100.9,99.9,100.9,100.2,101.0,102.5,103.8,101.6,100.5,97.7,95.9,94.6,102.0,100.6,100.8,99.7,100.3,100.9,100.7,99.5,97.8,98.2,98.8,97.5,99.1,102.4,100.2,98.8,98.3,99.9,99.2,98.7,100.8,101.6,102.2,98.8,104.9,101.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
肉禽及其制品类居民消费价格指数(上月=100),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,99.7,98.6,99.1,100.4,103.8,104.2,101.6,100.8,99.2,98.2,101.2,99.4,99.8,99.4,100.0,101.4,102.3,100.3,101.2,102.7,97.5,96.5,99.0,100.0,100.5,100.0,100.0,101.4,102.3,101.1,102.5,98.8,96.4,95.3,102.4,103.2,102.4,100.4,100.8,101.9,101.0,100.0,99.4,98.6,97.7,97.5,98.6,103.2,99.2,97.4,99.4,101.2,101.5,104.7,106.3,101.6,100.5,98.9,103.7,101.3,101.8,102.7,101.1,101.9,104.8,103.7,99.9,99.4,97.1,95.7,101.4,100.7,101.5,99.8,99.8,101.9,103.5,101.4,96.8,96.7,99.4,102.6,101.6,97.5,96.8,98.9,,98.9,98.8,99.0,100.3,97.9,106.0,104.5,104.7,102.0,98.5,106.6,,107.0,106.3,98.8,97.5,103.0,102.7,104.7
蛋类居民消费价格指数(上月=100),98.2,98.3,102.7,101.5,99.7,97.1,99.1,99.0,97.3,94.5,99.4,100.2,99.2,98.0,102.1,102.8,103.7,101.5,102.2,98.0,96.2,97.8,98.5,99.8,97.3,96.4,102.8,107.0,99.2,97.8,98.7,99.8,100.2,96.4,97.9,97.9,101.3,102.2,105.4,103.1,100.3,95.7,101.4,106.3,100.3,96.9,98.9,98.2,103.0,98.1,99.8,107.3,100.9,99.4,102.8,101.4,96.2,96.2,109.4,102.4,98.6,98.1,101.0,109.4,103.1,96.3,95.9,98.1,95.7,94.2,96.8,95.3,99.5,98.7,106.7,105.0,104.2,97.7,106.4,102.7,94.9,95.5,100.4,98.8,99.8,96.7,102.2,112.0,100.2,100.0,101.5,97.2,92.1,100.6,100.7,104.4,101.8,95.4,105.3,113.5,103.2,104.9,96.6,99.4,96.0,93.8,98.3,98.9,99.4,96.0,105.9,103.5,98.5,99.0,99.9,99.0,92.6,100.1,103.3,101.3,98.9,93.1,102.9,110.2,100.7,98.4,98.8,94.4,94.3,99.7,96.6,98.4,98.7,97.0,101.9,106.3,104.2,96.4,109.5,103.5,99.5,97.0,101.7,100.6,98.6,94.1,107.1,107.1,98.6,100.2,99.6,97.2,93.3,99.1,101.4,103.1,99.6,96.1,105.9,108.2,97.7,111.4,100.3,98.6,98.0,91.9,99.2,98.3,96.0,96.2,102.4,104.4,100.8,104.2,104.6,98.7,93.0,100.8,102.3,101.9,103.7,97.6,104.2,107.5,102.9,101.6,100.2,98.6,96.9,101.6,101.4,100.7,97.4,97.0,103.9,105.4,97.8,101.8,102.4,99.3,100.7,98.3,95.8,96.1,104.6,103.7,99.3,102.4,103.6,99.5,95.1,103.5,101.3,99.2,96.8,102.2,106.7,,102.7,105.5,99.4,97.0,102.2,100.7,104.4
水产品类居民消费价格指数(上月=100),98.2,99.1,98.2,99.1,100.4,100.7,100.8,101.2,99.8,101.2,102.7,100.1,98.7,98.0,99.5,100.2,100.4,99.8,99.9,99.5,96.5,106.2,102.6,100.9,98.4,98.6,99.2,99.8,100.3,98.8,100.0,100.5,99.2,98.5,105.5,100.4,98.9,97.7,100.8,100.0,100.5,98.4,99.0,101.2,97.9,104.8,104.1,100.3,98.3,97.7,97.5,97.7,100.0,100.1,103.0,103.0,98.6,108.7,103.3,100.8,98.1,98.8,99.1,99.6,100.4,100.1,101.3,99.9,96.5,103.0,104.5,100.1,99.5,98.9,99.8,100.9,100.4,99.1,99.9,100.5,96.4,104.0,102.0,101.1,99.8,99.1,98.5,99.7,99.6,99.2,99.0,98.8,96.8,108.0,102.8,101.1,98.7,99.4,98.2,98.9,99.8,99.5,101.2,101.5,99.7,101.8,104.4,100.3,99.3,98.2,99.4,99.4,100.6,101.1,100.2,100.5,97.2,106.0,102.3,101.3,99.2,99.2,98.8,99.2,99.9,100.5,99.7,98.9,97.7,106.1,102.2,101.0,99.0,99.0,99.3,99.4,99.3,99.4,99.9,99.4,98.1,104.4,104.3,101.1,99.6,99.1,99.9,99.5,99.4,100.3,100.7,101.2,95.5,105.9,103.5,102.0,99.5,98.6,98.4,98.3,99.4,99.5,100.4,100.8,101.3,100.8,107.2,100.9,99.3,98.5,99.4,99.3,101.2,102.0,100.5,100.7,97.7,106.2,103.9,101.7,100.7,100.0,100.0,99.6,100.3,100.8,100.0,99.5,96.8,108.1,103.5,102.6,100.1,99.8,97.9,98.6,99.2,99.9,100.2,103.2,105.3,100.5,98.0,97.2,97.6,,100.3,101.6,102.5,103.1,96.2,111.8,104.3,101.2,99.3,99.1,99.7,,101.6,100.6,98.6,98.2,106.8,101.8,101.8
鲜菜类居民消费价格指数(上月=100),107.2,104.3,106.1,108.5,101.3,100.7,94.1,98.2,94.9,96.2,105.9,97.6,86.8,97.0,104.3,118.1,109.3,92.7,97.5,96.3,89.0,112.7,103.8,106.9,95.9,98.1,103.3,100.2,98.1,102.3,96.6,93.9,92.8,95.6,119.6,107.0,91.7,95.5,106.8,102.0,110.3,90.8,85.0,96.5,100.4,106.0,103.1,91.7,106.8,116.6,101.0,108.6,101.3,97.7,94.4,91.2,85.5,101.8,119.0,108.5,94.3,97.9,102.4,106.4,106.3,102.8,87.5,92.0,87.8,109.5,115.3,110.6,101.4,98.3,97.6,102.8,102.6,90.3,92.1,95.5,97.4,115.7,109.1,103.7,87.7,96.5,109.8,109.0,101.7,98.2,95.4,94.5,85.2,118.1,109.5,101.0,95.2,100.4,99.9,108.5,107.0,98.9,93.8,95.0,92.1,94.6,106.2,100.1,105.5,99.1,110.7,107.9,103.8,87.5,78.5,87.5,94.5,129.9,107.2,113.7,102.8,94.4,99.0,106.8,101.4,99.9,90.8,96.8,91.1,113.6,104.0,111.3,98.4,99.5,103.9,101.8,102.3,95.5,91.3,90.7,94.6,108.2,112.1,98.5,96.2,97.2,106.7,107.6,102.2,94.8,86.2,111.2,86.6,106.9,112.7,117.5,103.5,87.9,94.4,114.3,100.2,84.8,93.1,94.2,106.1,99.7,126.1,113.9,94.0,96.6,105.2,99.8,104.1,99.2,90.7,88.8,93.8,115.2,114.4,90.6,98.1,105.3,103.3,107.7,104.3,85.4,90.2,100.3,95.9,111.4,105.2,116.4,105.9,94.9,104.4,110.4,97.7,92.9,95.1,104.0,122.4,105.9,98.2,103.9,101.1,99.9,104.3,94.1,84.3,90.8,87.0,137.3,107.9,98.3,100.4,100.5,108.7,,95.8,86.8,98.1,103.5,106.9,103.9,115.5
鲜果类居民消费价格指数(上月=100),99.7,101.2,101.7,97.2,96.6,96.7,103.3,102.2,98.4,101.8,103.3,99.0,97.0,99.0,102.1,103.8,99.7,96.2,103.0,98.0,95.8,104.3,99.5,101.7,101.9,100.9,99.7,95.6,94.9,98.3,99.7,99.3,100.4,98.8,109.2,104.7,101.5,98.4,101.3,99.0,96.2,95.5,101.5,105.2,97.7,103.0,107.2,103.4,104.3,102.9,100.0,99.6,97.9,95.5,97.3,96.2,99.8,106.1,102.3,103.5,100.0,101.8,107.3,99.6,95.6,92.4,99.2,97.8,99.8,104.8,105.5,100.6,97.0,94.3,92.4,89.9,93.8,105.1,110.1,102.6,100.3,105.4,102.3,101.9,103.7,101.9,106.4,100.8,96.3,93.3,97.3,98.8,97.6,106.4,105.7,105.5,102.1,100.7,101.9,95.8,90.8,95.8,104.2,101.9,98.8,104.1,105.7,102.9,97.8,98.3,105.2,97.4,98.1,97.5,98.7,99.0,98.0,106.9,104.0,102.3,101.6,99.5,98.5,98.2,94.1,92.2,97.3,96.5,100.9,108.9,103.9,101.9,99.5,97.8,101.5,97.9,93.7,97.8,102.1,101.5,98.4,108.0,111.0,105.3,100.5,99.1,105.4,97.0,93.5,98.0,100.9,100.3,100.5,111.0,104.3,100.8,98.9,102.4,100.7,96.7,97.1,93.7,99.8,100.1,99.2,99.8,105.6,102.7,106.8,105.7,103.1,95.9,89.8,86.5,97.0,103.9,99.3,108.7,107.5,108.0,106.4,100.5,101.7,97.7,93.5,94.9,105.0,103.7,100.7,112.8,106.8,102.9,97.8,96.6,97.1,94.4,97.7,109.3,105.8,104.0,103.9,102.3,103.4,100.9,101.2,,94.3,92.1,96.6,104.1,96.9,109.2,105.9,105.1,104.6,105.1,99.7,,88.8,98.4,96.9,100.9,110.8,109.3,104.2
食用油居民消费价格指数(上月=100),99.9,100.2,99.9,100.0,99.9,99.8,99.9,99.8,99.9,100.0,99.7,100.0,100.0,99.9,99.7,100.1,99.4,100.0,99.7,99.6,100.0,99.4,99.0,99.6,99.7,100.0,99.4,100.1,99.4,99.0,99.5,99.6,99.9,99.9,99.3,100.1,100.3,100.4,100.6,100.7,101.8,101.4,100.7,100.5,100.4,100.1,100.0,100.4,101.0,100.3,99.9,100.0,100.1,100.2,100.4,100.5,100.6,100.5,102.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
猪肉居民消费价格指数(上月=100),97.8,97.5,99.3,99.5,100.9,98.8,99.3,98.4,95.6,98.1,101.0,97.9,96.6,96.3,100.4,107.3,102.0,111.4,101.1,100.0,93.3,107.2,99.8,99.0,97.0,98.0,100.2,111.4,100.0,98.7,98.0,96.2,95.8,88.6,89.2,91.3,99.3,109.4,105.4,100.4,125.6,102.9,105.2,101.5,90.7,95.4,97.5,100.4,112.2,98.0,94.9,98.6,98.1,86.4,89.0,89.0,89.1,96.9,105.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
