Database：Monthly By Province 
Time：Jan 2011-Dec 2025 
Region	,Dec 2025	,Nov 2025	,Oct 2025	,Sep 2025	,Aug 2025	,Jul 2025	,Jun 2025	,May 2025	,Apr 2025	,Mar 2025	,Feb 2025	,Jan 2025	,Dec 2024	,Nov 2024	,Oct 2024	,Sep 2024	,Aug 2024	,Jul 2024	,Jun 2024	,May 2024	,Apr 2024	,Mar 2024	,Feb 2024	,Jan 2024	,Dec 2023	,Nov 2023	,Oct 2023	,Sep 2023	,Aug 2023	,Jul 2023	,Jun 2023	,May 2023	,Apr 2023	,Mar 2023	,Feb 2023	,Jan 2023	,Dec 2022	,Nov 2022	,Oct 2022	,Sep 2022	,Aug 2022	,Jul 2022	,Jun 2022	,May 2022	,Apr 2022	,Mar 2022	,Feb 2022	,Jan 2022	,Dec 2021	,Nov 2021	,Oct 2021	,Sep 2021	,Aug 2021	,Jul 2021	,Jun 2021	,May 2021	,Apr 2021	,Mar 2021	,Feb 2021	,Jan 2021	,Dec 2020	,Nov 2020	,Oct 2020	,Sep 2020	,Aug 2020	,Jul 2020	,Jun 2020	,May 2020	,Apr 2020	,Mar 2020	,Feb 2020	,Jan 2020	,Dec 2019	,Nov 2019	,Oct 2019	,Sep 2019	,Aug 2019	,Jul 2019	,Jun 2019	,May 2019	,Apr 2019	,Mar 2019	,Feb 2019	,Jan 2019	,Dec 2018	,Nov 2018	,Oct 2018	,Sep 2018	,Aug 2018	,Jul 2018	,Jun 2018	,May 2018	,Apr 2018	,Mar 2018	,Feb 2018	,Jan 2018	,Dec 2017	,Nov 2017	,Oct 2017	,Sep 2017	,Aug 2017	,Jul 2017	,Jun 2017	,May 2017	,Apr 2017	,Mar 2017	,Feb 2017	,Jan 2017	,Dec 2016	,Nov 2016	,Oct 2016	,Sep 2016	,Aug 2016	,Jul 2016	,Jun 2016	,May 2016	,Apr 2016	,Mar 2016	,Feb 2016	,Jan 2016	,Dec 2015	,Nov 2015	,Oct 2015	,Sep 2015	,Aug 2015	,Jul 2015	,Jun 2015	,May 2015	,Apr 2015	,Mar 2015	,Feb 2015	,Jan 2015	,Dec 2014	,Nov 2014	,Oct 2014	,Sep 2014	,Aug 2014	,Jul 2014	,Jun 2014	,May 2014	,Apr 2014	,Mar 2014	,Feb 2014	,Jan 2014	,Dec 2013	,Nov 2013	,Oct 2013	,Sep 2013	,Aug 2013	,Jul 2013	,Jun 2013	,May 2013	,Apr 2013	,Mar 2013	,Feb 2013	,Jan 2013	,Dec 2012	,Nov 2012	,Oct 2012	,Sep 2012	,Aug 2012	,Jul 2012	,Jun 2012	,May 2012	,Apr 2012	,Mar 2012	,Feb 2012	,Jan 2012	,Dec 2011	,Nov 2011	,Oct 2011	,Sep 2011	,Aug 2011	,Jul 2011	,Jun 2011	,May 2011	,Apr 2011	,Mar 2011	,Feb 2011	,Jan 2011	,
Beijing	,98.9	,99.4	,99.4	,101.3	,99.1	,100.2	,99.9	,99.2	,100.5	,98.9	,99.5	,99.6	,99.1	,98.2	,98.5	,101.2	,101.7	,100.7	,102.7	,99.8	,99.8	,96.9	,102.3	,99.1	,99.3	,97.8	,98.8	,99.9	,103.0	,99.4	,99.2	,99.5	,98.7	,97.9	,94.6	,95.6	,98.4	,100.0	,104.5	,102.2	,98.8	,106.4	,101.0	,102.3	,100.4	,97.3	,99.4	,98.6	,100.4	,103.2	,99.7	,99.4	,99.0	,98.0	,94.6	,96.6	,95.5	,96.3	,98.8	,103.4	,102.5	,97.4	,96.5	,99.3	,99.6	,105.1	,101.1	,95.5	,96.4	,99.9	,103.1	,101.6	,96.9	,107.7	,112.6	,110.8	,106.4	,102.8	,102.5	,99.7	,101.2	,100.4	,100.3	,100.1	,100.9	,99.6	,100.9	,102.7	,102.3	,101.2	,100.4	,98.7	,97.7	,96.5	,101.1	,99.9	,101.3	,100.1	,100.4	,100.9	,100.4	,100.0	,99.3	,98.7	,99.2	,98.1	,99.6	,101.7	,100.8	,99.3	,99.2	,99.9	,99.6	,100.2	,100.4	,99.3	,102.1	,99.6	,102.6	,100.1	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,
Tianjin	,99.1	,99.7	,99.5	,100.3	,99.9	,99.8	,100.1	,100.7	,100.3	,98.2	,99.4	,100.5	,99.5	,98.8	,97.9	,100.3	,101.5	,100.4	,103.4	,100.4	,99.4	,96.3	,102.9	,99.2	,100.6	,98.2	,100.3	,99.5	,103.4	,99.3	,98.6	,98.7	,98.3	,98.5	,95.5	,95.7	,97.6	,99.3	,103.3	,102.0	,99.4	,109.5	,100.6	,102.3	,99.3	,96.7	,98.5	,100.7	,101.6	,103.8	,98.9	,98.1	,98.4	,97.8	,93.2	,96.8	,96.0	,95.4	,99.0	,104.9	,104.6	,96.5	,94.6	,99.1	,100.5	,106.7	,101.5	,95.6	,96.2	,99.2	,103.0	,103.8	,96.2	,106.8	,112.1	,111.7	,108.2	,104.2	,103.9	,100.0	,100.8	,100.1	,100.3	,100.6	,100.8	,101.0	,101.1	,101.1	,102.1	,100.8	,101.1	,99.4	,96.4	,97.1	,101.0	,100.7	,100.2	,100.2	,100.7	,101.2	,100.4	,99.7	,99.3	,98.9	,99.4	,98.3	,99.5	,102.1	,101.2	,99.6	,98.7	,99.8	,99.2	,98.9	,101.1	,100.9	,102.2	,99.0	,102.5	,100.9	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,
Hebei	,99.1	,98.9	,99.0	,100.3	,99.9	,100.4	,99.6	,100.4	,100.4	,97.7	,99.4	,100.6	,98.3	,98.2	,97.1	,101.2	,102.8	,100.6	,104.6	,99.5	,99.2	,95.9	,103.7	,100.0	,99.5	,97.7	,98.2	,100.0	,105.4	,99.1	,98.3	,99.2	,98.5	,98.8	,96.0	,92.3	,95.7	,101.0	,104.2	,102.4	,100.1	,111.8	,101.1	,102.5	,100.7	,96.1	,98.4	,99.3	,100.9	,103.9	,98.8	,97.1	,98.8	,98.3	,92.1	,95.1	,95.2	,94.9	,96.7	,105.4	,104.9	,95.8	,95.8	,98.9	,100.7	,107.1	,102.7	,94.9	,95.5	,98.8	,103.8	,103.7	,95.4	,105.3	,115.9	,114.2	,108.4	,104.6	,104.0	,100.6	,102.5	,103.5	,100.0	,99.5	,100.1	,99.9	,99.5	,101.9	,104.1	,101.9	,102.0	,97.9	,95.4	,95.6	,99.8	,100.2	,101.0	,100.1	,100.3	,101.1	,100.6	,100.1	,97.8	,98.5	,98.7	,97.7	,99.2	,102.5	,100.8	,98.8	,97.7	,99.5	,98.3	,98.7	,101.5	,102.3	,102.7	,99.4	,103.5	,102.5	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,
Shanxi	,99.1	,99.3	,98.7	,99.7	,99.7	,100.1	,99.7	,99.9	,100.1	,98.3	,99.6	,100.6	,98.4	,98.0	,97.7	,100.2	,103.1	,100.9	,104.8	,100.2	,99.9	,96.6	,102.9	,100.0	,99.7	,97.7	,99.1	,100.2	,104.0	,99.4	,98.7	,99.5	,98.6	,98.6	,95.8	,93.7	,95.2	,100.6	,105.1	,102.3	,99.9	,111.6	,101.5	,102.7	,101.0	,96.2	,97.4	,99.2	,100.8	,104.1	,98.5	,97.6	,98.5	,99.9	,92.7	,94.7	,94.6	,94.1	,95.6	,105.5	,106.0	,96.2	,94.4	,98.8	,101.3	,107.1	,103.4	,94.4	,94.6	,98.4	,103.3	,105.2	,95.5	,105.0	,117.2	,114.5	,109.1	,105.1	,104.2	,100.4	,101.6	,104.1	,102.3	,99.4	,99.7	,97.3	,99.5	,102.1	,104.2	,101.5	,101.7	,97.8	,94.3	,95.3	,100.5	,101.0	,101.2	,100.0	,100.4	,101.6	,100.9	,100.0	,97.6	,97.3	,98.7	,97.1	,99.4	,102.6	,100.7	,98.8	,97.7	,100.0	,99.1	,98.9	,101.4	,100.9	,102.3	,98.5	,104.8	,102.6	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,
Inner Mongolia	,99.7	,99.6	,100.2	,100.9	,100.2	,100.0	,99.8	,100.4	,101.0	,98.6	,99.8	,100.4	,98.5	,98.1	,98.0	,100.5	,103.3	,100.2	,101.8	,98.9	,98.2	,97.3	,101.2	,100.1	,99.3	,98.5	,99.2	,100.3	,104.1	,98.5	,98.7	,98.9	,98.6	,99.3	,96.5	,94.9	,95.8	,101.4	,103.3	,101.6	,100.8	,108.5	,101.2	,101.3	,98.4	,96.8	,98.3	,100.2	,100.7	,103.6	,100.1	,98.5	,98.8	,98.9	,93.6	,95.2	,95.3	,94.0	,98.4	,105.2	,105.8	,96.7	,96.4	,100.8	,101.9	,106.6	,101.5	,95.9	,96.4	,99.0	,100.6	,104.2	,96.0	,102.9	,112.3	,111.7	,108.0	,105.0	,102.9	,99.6	,101.4	,100.4	,100.7	,100.1	,100.1	,99.4	,102.0	,103.1	,103.6	,100.8	,101.1	,98.5	,95.8	,96.1	,101.7	,100.9	,101.1	,99.8	,100.6	,103.2	,101.5	,99.5	,98.4	,98.0	,98.4	,97.2	,99.3	,103.1	,100.9	,99.3	,98.4	,99.7	,98.4	,98.6	,100.8	,100.9	,100.3	,98.6	,102.8	,102.3	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,
Liaoning	,99.2	,99.3	,99.1	,100.0	,100.3	,100.2	,99.8	,100.0	,100.8	,98.6	,98.9	,101.0	,98.0	,97.9	,97.3	,101.0	,103.0	,100.4	,105.1	,99.5	,98.6	,96.8	,101.2	,99.5	,99.2	,98.7	,99.2	,99.4	,106.5	,99.3	,98.0	,98.4	,98.1	,99.2	,95.3	,94.9	,95.6	,98.2	,105.1	,102.9	,98.9	,112.2	,101.9	,101.2	,100.7	,96.8	,97.3	,99.4	,99.7	,105.5	,100.0	,97.7	,98.1	,99.0	,93.5	,94.9	,94.1	,92.5	,97.1	,105.5	,106.5	,95.8	,93.7	,99.2	,100.6	,108.4	,104.1	,95.3	,94.7	,96.8	,102.7	,106.3	,95.8	,102.9	,116.5	,111.7	,107.9	,106.4	,106.9	,100.1	,102.5	,102.6	,103.5	,96.3	,98.9	,100.3	,100.2	,100.2	,102.6	,101.1	,102.8	,99.6	,96.4	,93.2	,100.7	,100.8	,101.2	,99.6	,100.1	,101.0	,101.9	,100.1	,98.6	,98.3	,98.5	,96.1	,97.5	,103.1	,101.1	,100.3	,97.4	,100.2	,97.6	,97.8	,101.1	,102.8	,101.6	,97.7	,103.3	,102.1	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,
Jilin	,98.6	,99.4	,98.7	,99.7	,99.7	,100.5	,99.3	,100.0	,102.2	,98.0	,98.2	,100.8	,98.0	,97.5	,96.7	,100.1	,104.2	,99.8	,106.4	,100.9	,98.0	,95.7	,100.9	,99.0	,98.9	,99.0	,98.4	,99.1	,108.2	,99.6	,98.3	,97.9	,97.4	,98.2	,94.8	,94.0	,94.6	,97.7	,105.7	,103.4	,97.6	,112.7	,100.9	,102.4	,102.6	,96.9	,95.2	,99.8	,100.4	,106.2	,99.5	,97.3	,98.9	,100.0	,92.0	,93.9	,92.4	,91.4	,96.2	,108.0	,107.2	,94.7	,92.8	,99.5	,100.5	,108.8	,104.5	,95.6	,95.9	,98.1	,100.4	,106.6	,95.2	,102.0	,118.1	,111.6	,106.7	,106.9	,108.6	,100.2	,104.3	,102.2	,104.5	,98.3	,98.4	,97.7	,99.2	,100.9	,103.9	,102.1	,104.2	,99.5	,93.6	,91.3	,100.9	,101.3	,101.2	,99.6	,99.7	,101.1	,102.9	,100.5	,98.3	,98.1	,98.4	,96.1	,96.5	,103.1	,100.4	,99.5	,98.4	,99.7	,98.3	,98.3	,100.5	,102.8	,102.9	,97.3	,103.6	,103.2	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,
Heilongjiang	,99.1	,99.3	,99.7	,100.0	,99.3	,100.8	,99.6	,100.6	,100.8	,97.3	,98.4	,100.9	,97.9	,96.7	,96.6	,100.3	,104.3	,99.4	,106.0	,101.0	,98.8	,96.5	,101.7	,99.5	,99.0	,99.3	,98.6	,99.3	,107.5	,99.7	,98.5	,99.0	,97.2	,97.8	,96.4	,92.6	,94.5	,99.0	,105.8	,103.3	,98.5	,114.3	,102.8	,102.7	,101.2	,95.4	,96.4	,98.9	,101.7	,104.2	,100.8	,97.3	,98.5	,99.8	,92.3	,93.6	,92.0	,92.7	,96.5	,106.3	,107.6	,95.6	,93.3	,99.7	,100.1	,109.1	,104.5	,94.0	,95.1	,97.5	,102.8	,106.4	,95.0	,103.4	,119.4	,112.4	,107.9	,108.7	,104.4	,99.0	,106.7	,104.1	,104.2	,97.4	,97.0	,97.9	,99.8	,101.3	,102.9	,102.4	,103.4	,98.8	,93.8	,92.9	,100.6	,100.1	,101.0	,99.2	,99.3	,100.3	,102.8	,100.4	,97.9	,98.4	,97.4	,96.6	,98.7	,101.3	,100.9	,99.5	,96.6	,98.6	,97.8	,98.9	,101.6	,102.3	,103.7	,99.2	,102.4	,102.7	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,
Shanghai	,99.6	,99.5	,99.9	,99.5	,98.8	,100.2	,99.9	,99.8	,100.0	,99.0	,99.0	,100.8	,98.3	,99.0	,98.6	,100.1	,101.6	,100.7	,104.0	,100.4	,98.7	,98.6	,102.2	,100.2	,99.7	,98.6	,99.3	,100.2	,103.6	,100.9	,100.4	,98.0	,98.8	,97.4	,93.7	,97.7	,97.3	,99.5	,104.0	,101.7	,98.7	,106.7	,88.2	,101.9	,115.1	,99.3	,98.7	,99.5	,100.8	,102.2	,96.8	,98.5	,100.1	,98.2	,93.9	,95.9	,96.1	,95.6	,99.4	,101.5	,101.5	,97.1	,98.2	,99.7	,101.1	,104.0	,100.3	,96.1	,98.4	,98.8	,102.8	,101.8	,99.2	,107.1	,111.8	,111.5	,108.1	,102.6	,100.8	,100.3	,100.3	,100.7	,100.0	,100.6	,100.5	,99.7	,100.0	,102.4	,101.2	,100.3	,100.0	,99.5	,98.2	,98.2	,100.7	,99.8	,100.4	,100.3	,101.0	,99.9	,100.0	,99.7	,99.2	,99.4	,99.4	,99.0	,99.6	,101.3	,100.2	,99.4	,99.3	,99.9	,100.2	,100.2	,101.0	,100.6	,101.4	,100.1	,102.3	,100.5	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,
Jiangsu	,98.7	,98.6	,98.3	,99.5	,100.0	,101.1	,99.5	,99.4	,99.3	,98.4	,99.3	,99.5	,98.2	,98.0	,98.1	,100.9	,102.1	,101.2	,104.7	,100.0	,98.5	,96.9	,103.9	,100.1	,99.3	,98.3	,99.2	,100.3	,103.5	,99.6	,99.3	,98.7	,97.7	,97.1	,95.1	,96.3	,97.0	,100.3	,104.2	,101.4	,100.5	,112.2	,101.6	,100.6	,101.2	,96.7	,99.1	,99.2	,100.4	,103.6	,97.7	,97.5	,99.7	,98.8	,93.2	,95.7	,94.6	,95.8	,99.3	,102.8	,103.5	,95.5	,95.4	,98.7	,100.9	,107.1	,101.8	,95.8	,95.6	,94.9	,107.2	,104.3	,95.4	,105.4	,115.2	,118.3	,110.9	,104.3	,101.7	,100.0	,101.2	,101.7	,100.5	,100.3	,100.4	,98.9	,100.0	,102.4	,103.9	,101.9	,101.0	,98.0	,96.1	,96.0	,101.3	,100.6	,100.6	,99.6	,99.9	,100.5	,100.8	,100.2	,98.1	,98.5	,99.0	,98.2	,100.0	,101.8	,99.6	,98.7	,98.3	,99.9	,99.4	,99.2	,100.9	,101.5	,102.7	,100.1	,103.8	,100.7	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,
