time_code,value,series_name,nbs_code,frequency
200001,0,CPI_YoY,A01030101,Monthly
200002,0,CPI_YoY,A01030101,Monthly
200003,0,CPI_YoY,A01030101,Monthly
200004,0,CPI_YoY,A01030101,Monthly
200005,0,CPI_YoY,A01030101,Monthly
200006,0,CPI_YoY,A01030101,Monthly
200007,0,CPI_YoY,A01030101,Monthly
200008,0,CPI_YoY,A01030101,Monthly
200009,0,CPI_YoY,A01030101,Monthly
200010,0,CPI_YoY,A01030101,Monthly
200011,0,CPI_YoY,A01030101,Monthly
200012,100,CPI_YoY,A01030101,Monthly
200101,100.9,CPI_YoY,A01030101,Monthly
200102,100.1,CPI_YoY,A01030101,Monthly
200103,99.4,CPI_YoY,A01030101,Monthly
200104,100.2,CPI_YoY,A01030101,Monthly
200105,99.5,CPI_YoY,A01030101,Monthly
200106,98.8,CPI_YoY,A01030101,Monthly
200107,99.5,CPI_YoY,A01030101,Monthly
200108,100.1,CPI_YoY,A01030101,Monthly
200109,100.9,CPI_YoY,A01030101,Monthly
200110,100.3,CPI_YoY,A01030101,Monthly
200111,99.8,CPI_YoY,A01030101,Monthly
200112,100.1,CPI_YoY,A01030101,Monthly
200201,100.3,CPI_YoY,A01030101,Monthly
200202,101.1,CPI_YoY,A01030101,Monthly
200203,98.7,CPI_YoY,A01030101,Monthly
200204,99.7,CPI_YoY,A01030101,Monthly
200205,99.7,CPI_YoY,A01030101,Monthly
200206,99.1,CPI_YoY,A01030101,Monthly
200207,99.3,CPI_YoY,A01030101,Monthly
200208,100.3,CPI_YoY,A01030101,Monthly
200209,101,CPI_YoY,A01030101,Monthly
200210,100.2,CPI_YoY,A01030101,Monthly
200211,99.9,CPI_YoY,A01030101,Monthly
200212,100.3,CPI_YoY,A01030101,Monthly
200301,100.1,CPI_YoY,A01030101,Monthly
200302,100.9,CPI_YoY,A01030101,Monthly
200303,99.4,CPI_YoY,A01030101,Monthly
200304,99.8,CPI_YoY,A01030101,Monthly
200305,99.3,CPI_YoY,A01030101,Monthly
200306,98.9,CPI_YoY,A01030101,Monthly
200307,99.5,CPI_YoY,A01030101,Monthly
200308,100.7,CPI_YoY,A01030101,Monthly
200309,101.2,CPI_YoY,A01030101,Monthly
200310,100.9,CPI_YoY,A01030101,Monthly
200311,101,CPI_YoY,A01030101,Monthly
200312,100.6,CPI_YoY,A01030101,Monthly
200401,101.1,CPI_YoY,A01030101,Monthly
200402,99.8,CPI_YoY,A01030101,Monthly
200403,100.3,CPI_YoY,A01030101,Monthly
200404,100.5,CPI_YoY,A01030101,Monthly
200405,99.9,CPI_YoY,A01030101,Monthly
200406,99.3,CPI_YoY,A01030101,Monthly
200407,99.8,CPI_YoY,A01030101,Monthly
200408,100.7,CPI_YoY,A01030101,Monthly
200409,101.1,CPI_YoY,A01030101,Monthly
200410,100,CPI_YoY,A01030101,Monthly
200411,99.7,CPI_YoY,A01030101,Monthly
200412,100.1,CPI_YoY,A01030101,Monthly
200501,100.6,CPI_YoY,A01030101,Monthly
200502,101.8,CPI_YoY,A01030101,Monthly
200503,99.1,CPI_YoY,A01030101,Monthly
200504,99.7,CPI_YoY,A01030101,Monthly
200505,99.8,CPI_YoY,A01030101,Monthly
200506,99.2,CPI_YoY,A01030101,Monthly
200507,100,CPI_YoY,A01030101,Monthly
200508,100.2,CPI_YoY,A01030101,Monthly
200509,100.7,CPI_YoY,A01030101,Monthly
200510,100.4,CPI_YoY,A01030101,Monthly
200511,99.7,CPI_YoY,A01030101,Monthly
200512,100.4,CPI_YoY,A01030101,Monthly
200601,101.3,CPI_YoY,A01030101,Monthly
200602,100.5,CPI_YoY,A01030101,Monthly
200603,99.1,CPI_YoY,A01030101,Monthly
200604,100.2,CPI_YoY,A01030101,Monthly
200605,99.9,CPI_YoY,A01030101,Monthly
200606,99.5,CPI_YoY,A01030101,Monthly
200607,99.7,CPI_YoY,A01030101,Monthly
200608,100.3,CPI_YoY,A01030101,Monthly
200609,100.5,CPI_YoY,A01030101,Monthly
200610,100.1,CPI_YoY,A01030101,Monthly
200611,100.3,CPI_YoY,A01030101,Monthly
200612,101.4,CPI_YoY,A01030101,Monthly
200701,100.7,CPI_YoY,A01030101,Monthly
200702,101,CPI_YoY,A01030101,Monthly
200703,99.7,CPI_YoY,A01030101,Monthly
200704,99.9,CPI_YoY,A01030101,Monthly
200705,100.3,CPI_YoY,A01030101,Monthly
200706,100.4,CPI_YoY,A01030101,Monthly
200707,100.9,CPI_YoY,A01030101,Monthly
200708,101.2,CPI_YoY,A01030101,Monthly
200709,100.3,CPI_YoY,A01030101,Monthly
200710,100.3,CPI_YoY,A01030101,Monthly
200711,100.7,CPI_YoY,A01030101,Monthly
200712,101,CPI_YoY,A01030101,Monthly
200801,101.2,CPI_YoY,A01030101,Monthly
200802,102.6,CPI_YoY,A01030101,Monthly
200803,99.3,CPI_YoY,A01030101,Monthly
200804,100.1,CPI_YoY,A01030101,Monthly
200805,99.6,CPI_YoY,A01030101,Monthly
200806,99.8,CPI_YoY,A01030101,Monthly
200807,100.1,CPI_YoY,A01030101,Monthly
200808,99.9,CPI_YoY,A01030101,Monthly
200809,100,CPI_YoY,A01030101,Monthly
200810,99.7,CPI_YoY,A01030101,Monthly
