horizon,mu_cp,CPI_QoQ_Ann,Ind_Value_Added_YoY,epu_qavg,gpr_qavg
0,0.34917500880777474,0.08782453373145829,0.13837854812933686,-0.16483440715196518,-0.023334373461329876
1,0.19477138589011467,0.04162019566550051,0.062176851836071856,-0.16661302318619825,0.04868108955089196
2,0.14028154663577866,-0.02982736777663391,0.048462428442153524,-0.13172071290167295,-0.05163596649572457
3,0.10112049841359926,0.0014609596847325235,0.06751626459017317,-0.11987026182503333,-0.03723734877059773
4,0.0952883288140907,0.0023521373115487185,0.078907498681153,-0.0988018281965076,-0.027468995331006857
5,0.08599592927644766,0.01205357837956632,0.0444388650290986,-0.0936497224061816,-0.021406879536771412
6,0.058779042423216014,-0.009955531214931885,0.031975263383549404,-0.07846920726245915,-0.01821735802532598
7,0.04347422037773083,-0.0014900518922729155,0.027749145222629345,-0.06257822025968289,-0.011071583805668613
8,0.03840881827535067,-0.003830628138280233,0.03179810978190009,-0.05029038598009698,-0.007696513806071922
9,0.03449520112011946,0.00150839131590382,0.02137643621780117,-0.04342304892390931,-0.004998539811210644
10,0.02531225318699105,-0.004127764125320815,0.017346132526878704,-0.03622593385820843,-0.005508815599428368
11,0.01995240569694327,-0.0014831746294373472,0.012954689724343047,-0.03050727499831057,-0.003860869224153685
12,0.016890844430053523,-0.002403659966601917,0.014949741333538654,-0.024252575281575466,-0.002734695028463321
