variable,h,p16,p50,p84
mu_cp,0,0.17153064966039525,0.3223649160146195,0.46687526423506603
mu_cp,1,0.08103537721496175,0.18945670837064085,0.3067485720139354
mu_cp,2,0.07076540907626126,0.1512388069500753,0.25386010896751904
mu_cp,4,-0.018715542978581856,0.0645789296332816,0.15385090591378303
mu_cp,8,-0.023623267288904574,0.02775167186025959,0.08810401437501421
mu_cp,12,-0.012059065791734191,0.014178063070768163,0.060549254193819776
CPI_QoQ_Ann,0,-0.1342428520927709,0.07576805684355326,0.29913752104356717
CPI_QoQ_Ann,1,-0.10717017423341825,0.028958635575589434,0.15088195744368765
CPI_QoQ_Ann,2,-0.10209041464384389,0.011074555993584648,0.11971064115684908
CPI_QoQ_Ann,4,-0.09807087857278902,-0.025499810947246578,0.03697302251404774
CPI_QoQ_Ann,8,-0.040986946120188994,-0.005770384629641743,0.024365519251992825
CPI_QoQ_Ann,12,-0.02267719828266528,-0.002402026759455553,0.012258606069059413
Ind_Value_Added_YoY,0,-0.0737252170281354,0.15564866274165742,0.3629012293642645
Ind_Value_Added_YoY,1,0.0005714217743470845,0.12596543665668491,0.25433865521989363
Ind_Value_Added_YoY,2,-0.03420781565571918,0.06952681906921793,0.18599227419389874
Ind_Value_Added_YoY,4,-0.025473999742262693,0.05562554013715973,0.14676997777767742
Ind_Value_Added_YoY,8,-0.00923551508937906,0.028815949521653252,0.07886433908756849
Ind_Value_Added_YoY,12,-0.01229162460427419,0.011097261390182765,0.0504833379088931
Food_CPI_YoY_qavg,0,-0.22989332885777367,-0.050334170523724145,0.14506238579596462
Food_CPI_YoY_qavg,1,-0.1957792349693368,-0.024587863438542426,0.13653555608110804
Food_CPI_YoY_qavg,2,-0.14442745038818786,0.04041036027210325,0.22480383559134298
Food_CPI_YoY_qavg,4,-0.10094101635768005,0.03462392110040963,0.17475384199033314
Food_CPI_YoY_qavg,8,-0.07372201559098009,-0.0032211080947664346,0.0624727321488216
Food_CPI_YoY_qavg,12,-0.04592196513556337,-0.0037677776170218467,0.034551946745273385
epu_qavg,0,-0.3252232868023208,-0.10820240539260778,0.1297017727759845
epu_qavg,1,-0.28858483442472205,-0.15636501024501007,-0.0013402941537002347
epu_qavg,2,-0.2568989064211342,-0.1354153751428302,0.013118281057622541
epu_qavg,4,-0.18718860947185617,-0.08181756173393087,0.02603694812772027
epu_qavg,8,-0.12905571116281078,-0.044046388297817846,0.02426276299325689
epu_qavg,12,-0.08844572604314564,-0.01909730889374168,0.015468771804018644
gpr_qavg,0,-0.37037354860967525,-0.10385530330570253,0.18916366507919957
gpr_qavg,1,-0.206322476580911,-0.06412588150447034,0.08116219877510375
gpr_qavg,2,-0.19703376004117795,-0.06046482759669486,0.06749587049405197
gpr_qavg,4,-0.15757177320640953,-0.0339799883823376,0.07997851446077132
gpr_qavg,8,-0.08578359078591223,-0.020432354346105144,0.03466464708852055
gpr_qavg,12,-0.038874762834216224,-0.0016417147017231764,0.030314394567822173
