variable,h,p16,p50,p84
infl_exp_index,0,0.18503863844113486,0.34963019057888534,0.4886191301311483
infl_exp_index,1,0.06328048060833585,0.15013514142572995,0.2328948866547976
infl_exp_index,2,0.11760386496382734,0.19259808722608415,0.2767341614834181
infl_exp_index,4,0.06619473719778786,0.12688458012285603,0.2042425471461367
infl_exp_index,8,0.024809955105004233,0.06984386409502405,0.1423042088640505
infl_exp_index,12,0.007691914427282643,0.04065663960909792,0.10907801534337712
CPI_QoQ_Ann,0,-0.16521902980139627,0.10660411700873133,0.34028189434527084
CPI_QoQ_Ann,1,-0.05023933830047209,0.08544631908934466,0.22453158223435735
CPI_QoQ_Ann,2,-0.11874952435502445,-0.01051841067583277,0.08911516195053658
CPI_QoQ_Ann,4,-0.08239802156573933,-0.00632552286338039,0.06198833830411215
CPI_QoQ_Ann,8,-0.031929038283651054,0.00418570739692656,0.03557728237279283
CPI_QoQ_Ann,12,-0.013604630363699218,0.004274071036253477,0.026693642471716232
Ind_Value_Added_YoY,0,0.03003604505109553,0.2397457567212261,0.4271751196072696
Ind_Value_Added_YoY,1,-0.019089826286807107,0.08519389556674306,0.18799973364978823
Ind_Value_Added_YoY,2,0.05340299048382267,0.16444535465970875,0.27451419789808473
Ind_Value_Added_YoY,4,0.05358184617772831,0.11924906666830215,0.18862925411090867
Ind_Value_Added_YoY,8,0.02187508272261572,0.06030324464819323,0.1253974057931707
Ind_Value_Added_YoY,12,0.0066698166173884965,0.03335911259922122,0.09242223653000184
epu_qavg,0,-0.36716489818431985,-0.15631548263844447,0.08052506953885358
epu_qavg,1,-0.22185567242451854,-0.07219415213539718,0.08342148107188577
epu_qavg,2,-0.24963891279580616,-0.11622272303795911,0.04054468717667501
epu_qavg,4,-0.19393446989345,-0.09224437249113066,0.029188608202439723
epu_qavg,8,-0.14502660745183432,-0.0629682949917846,0.016237545344982427
epu_qavg,12,-0.11277176716885826,-0.03981813437858561,0.010971453687507852
gpr_qavg,0,-0.49699093432243846,-0.1854450213266548,0.16942440809398313
gpr_qavg,1,-0.28542227867389736,-0.1404975238322932,0.0024947388621124897
gpr_qavg,2,-0.27354418692293436,-0.15754817968129248,-0.03487659619473456
gpr_qavg,4,-0.19745540644334056,-0.10854377765476111,-0.033100828061996476
gpr_qavg,8,-0.12747149271712432,-0.054750701259286425,-0.010242133627202025
gpr_qavg,12,-0.08998644719367803,-0.028186921824130403,0.00039768033966769157
