horizon,mu_cp,CPI_QoQ_Ann,Ind_Value_Added_YoY,epu_qavg,gpr_qavg
0,0.3491750088077749,0.08782453373145858,0.13837854812933684,-0.16483440715196512,-0.023334373461329754
1,0.19477138589011497,0.04162019566550062,0.06217685183607191,-0.16661302318619864,0.04868108955089194
2,0.14028154663577866,-0.029827367776634296,0.04846242844215369,-0.13172071290167325,-0.051635966495724654
3,0.10112049841359935,0.0014609596847324267,0.06751626459017311,-0.11987026182503444,-0.03723734877059764
4,0.09528832881409077,0.002352137311548801,0.07890749868115333,-0.0988018281965088,-0.027468995331006916
5,0.08599592927644811,0.012053578379566237,0.044438865029098794,-0.09364972240618244,-0.021406879536771416
6,0.05877904242321651,-0.009955531214931835,0.03197526338354989,-0.07846920726246,-0.018217358025325994
7,0.04347422037773124,-0.0014900518922730723,0.027749145222629716,-0.0625782202596834,-0.011071583805668708
8,0.038408818275351,-0.0038306281382802184,0.03179810978190027,-0.05029038598009744,-0.0076965138060718875
9,0.03449520112011964,0.0015083913159036491,0.021376436217801366,-0.043423048923909406,-0.004998539811210665
10,0.02531225318699119,-0.004127764125320767,0.017346132526878753,-0.03622593385820937,-0.0055088155994283804
11,0.019952405696943426,-0.0014831746294373964,0.012954689724343183,-0.030507274998311056,-0.003860869224153757
12,0.01689084443005366,-0.002403659966601902,0.014949741333538762,-0.02425257528157611,-0.0027346950284633954
