horizon,mu_cp,CPI_QoQ_Ann,Ind_Value_Added_YoY,epu_qavg,gpr_qavg
0,0.42492695240086825,0.30341099509214686,0.2438148425282976,-0.17848974503527382,-0.018234355326377724
1,0.2913547386109058,0.037441739205248105,0.0714643245458359,-0.2221381834255166,-0.0832405313253464
2,0.16217089415063624,0.005261849913276464,0.07219718907881559,-0.19307109419795793,-0.0399126710576895
3,0.10024228265731677,-0.0023451815987796604,0.054352678750220436,-0.15344784754694946,-0.026187305178959907
4,0.06443239614754499,-0.005288492009744149,0.04079567323661114,-0.11893168422427247,-0.01457005921589714
5,0.04411551352012118,-0.005109017400652185,0.03079279517480501,-0.08881092834020557,-0.008918028060889566
6,0.02969096961973787,-0.003955978975161894,0.022462491223479916,-0.06616451392504458,-0.005668478641535274
7,0.021031499811589922,-0.0033125736014813596,0.016172931081311022,-0.04919841464789891,-0.0032797841441539353
8,0.014748659079949652,-0.0021260284432524567,0.011885488789538223,-0.03671768770630085,-0.0021337126637695734
9,0.010455127253183837,-0.0015794867541897445,0.008768589221652917,-0.027233119982801035,-0.0015821939344866412
10,0.007603979617606678,-0.0009546707825195097,0.006542391948105112,-0.01979428514330347,-0.0011300084002231117
11,0.00535112771992914,-0.0006391262436772861,0.0045697487607366544,-0.01426352193863482,-0.0007910433554226186
12,0.003929327289860117,-0.00038111497081993117,0.003452516020495306,-0.010462716548652072,-0.0005502458966835711
