variable,h,p16,p50,p84
mu_cp,0,0.22358302855227546,0.42492695240086825,0.6031229874041252
mu_cp,1,0.15457283418105902,0.2913547386109058,0.4492257548533368
mu_cp,2,0.07493722007012843,0.16217089415063624,0.2710192225438972
mu_cp,4,0.012049603169724782,0.06443239614754499,0.15126548145344276
mu_cp,8,-0.0025326770119664965,0.014748659079949652,0.06806911297811577
mu_cp,12,-0.0010827417579700124,0.003929327289860117,0.03387753318753918
CPI_QoQ_Ann,0,-0.002668611567535002,0.30341099509214686,0.5535129457781703
CPI_QoQ_Ann,1,-0.1380307756469253,0.037441739205248105,0.20932911758767003
CPI_QoQ_Ann,2,-0.08062119265916838,0.005261849913276464,0.09210958644968442
CPI_QoQ_Ann,4,-0.03851825531443778,-0.005288492009744149,0.027207102269740484
CPI_QoQ_Ann,8,-0.013383451114344429,-0.0021260284432524567,0.006395378509172812
CPI_QoQ_Ann,12,-0.004855817809969411,-0.00038111497081993117,0.00251126731688151
Ind_Value_Added_YoY,0,-0.0612249802710937,0.2438148425282976,0.5376525007415828
Ind_Value_Added_YoY,1,-0.07824910002871793,0.0714643245458359,0.21233672355000213
Ind_Value_Added_YoY,2,-0.020736427106421318,0.07219718907881559,0.17005290556207914
Ind_Value_Added_YoY,4,-0.005900311572807678,0.04079567323661114,0.10956724915427761
Ind_Value_Added_YoY,8,-0.0025970137955872662,0.011885488789538223,0.05399799845388134
Ind_Value_Added_YoY,12,-0.0009257341118590721,0.003452516020495306,0.02795569703597612
epu_qavg,0,-0.4109770318859589,-0.17848974503527382,0.08723753272213793
epu_qavg,1,-0.38296562616776303,-0.2221381834255166,-0.03689606715922475
epu_qavg,2,-0.318151190249384,-0.19307109419795793,-0.04941254440097561
epu_qavg,4,-0.22936658886564823,-0.11893168422427247,-0.03256857762892424
epu_qavg,8,-0.11716574064275813,-0.03671768770630085,-0.0033280152035771626
epu_qavg,12,-0.06233624104636259,-0.010462716548652072,0.0005680311106618495
gpr_qavg,0,-0.384177610387144,-0.018234355326377724,0.35547932510953145
gpr_qavg,1,-0.2738519854030152,-0.0832405313253464,0.13676807477384184
gpr_qavg,2,-0.16800240448410475,-0.0399126710576895,0.09053018194505887
gpr_qavg,4,-0.0892807963666753,-0.01457005921589714,0.052331780625749676
gpr_qavg,8,-0.03457034083180876,-0.0021337126637695734,0.018928283777180175
gpr_qavg,12,-0.01569233216884177,-0.0005502458966835711,0.006519378627267426
