quarter,beta_mean,beta_p05,beta_p95
2013Q4,-0.15506101825986865,-2.048319512718071,1.8380564799870915
2014Q1,-0.3225920692357223,-2.4270677881575935,1.850045464317978
2014Q2,-0.6247538174055486,-2.830149095140364,1.5766149932470963
2014Q3,-0.860794171727695,-3.381483017225359,1.564618724416313
2014Q4,-1.0944110679674375,-3.710568699608537,1.4849670332533482
2015Q3,-1.3786185921395462,-4.174442656999291,1.3821894386594733
2015Q4,-1.669502106838654,-4.661666160733655,1.3357124986525173
2016Q1,-1.8741830275767701,-5.107242484752975,1.1719931400832917
2016Q2,-1.897953175611341,-5.239688715643866,1.2623023028391882
2016Q3,-1.858056186581583,-5.356895476356769,1.605824870920491
2016Q4,-1.8510743017281555,-5.530279889553872,1.85912337937959
2017Q1,-1.719435421850469,-5.384093427371672,1.8994307104645278
2017Q2,-1.674336251004573,-5.423996705521224,2.1352536009639826
2017Q3,-1.6162511156720805,-5.387320932514481,2.247687035823065
2017Q4,-1.5618578558323648,-5.326727087629562,2.3613186373043877
2018Q1,-1.4858504352664865,-5.264493827274622,2.365314584557121
2018Q2,-1.352726365028942,-5.0806160210127596,2.504335233556609
2018Q3,-1.3104793137644848,-4.7130194852243905,2.21736597057147
2018Q4,-1.1577915776094065,-4.32761680453674,2.130714186252296
2019Q1,-0.9068292335278264,-4.025819898732084,2.301802025257994
2019Q2,-0.588829424170523,-3.3970817358427388,2.5290502699785553
2019Q3,-0.5753397937907543,-3.2727372430254142,2.219202041986517
2019Q4,-0.5243178659804943,-3.021396449230178,2.111405539294681
2020Q1,-0.6312506455474174,-3.019609217935125,1.8210715227618244
2020Q2,-1.1362787151357687,-3.213857745865975,0.8468204997220814
2020Q3,-1.049719410178401,-3.2270982260867025,1.0398902531077405
2021Q2,-1.0932269171386244,-3.407945638764057,1.1933123222810502
2021Q3,-1.1402653635365432,-3.5967463756315845,1.324319016124329
2021Q4,-1.2126184864969236,-3.795342388111321,1.3319191404248418
2022Q1,-1.335445134669016,-4.1245151782054,1.2978810007008341
2022Q2,-1.3799622578727766,-4.125996349276303,1.3472545960938316
2022Q3,-1.4644520090480133,-4.21103538486787,1.2729256737939492
2022Q4,-1.4366576151517259,-4.2691853268506215,1.4836033338165835
2023Q1,-1.518833571872778,-4.805964261643519,1.7407728295118414
2023Q2,-1.6380799011137537,-5.136244148588752,1.7775689560998926
2023Q3,-1.8195193556332754,-5.516001140817649,1.618313058648195
2023Q4,-1.902630393355486,-5.534673428001087,1.5062814015225474
2024Q1,-2.0763901927055093,-5.933139036723199,1.5652534917157197
2024Q2,-2.2158916909694626,-6.107402095852629,1.457890281471272
2024Q3,-2.3097884120994188,-6.141199333948865,1.4161252547766465
2024Q4,-2.2248163171430466,-6.209366711570759,1.618991133028439
2025Q1,-2.2202618644783523,-6.419373418345007,1.8357713172363321
2025Q2,-2.0685367178217553,-6.779381164313128,2.4822330106491726
