quarter,beta_mean,beta_p05,beta_p95
2013Q4,-0.0931725290379902,-2.1415046189138485,1.9858113699667492
2014Q1,-0.2137872132816212,-2.561994964714457,2.1443092579439633
2014Q2,-0.5980891794208091,-2.9991872187443187,1.7478426542375338
2014Q3,-0.9377499651450606,-3.7413957620705105,1.6673306730804922
2014Q4,-1.1365825435034134,-4.112488319270633,1.728666368854818
2015Q3,-1.4998126508347733,-4.623783469711071,1.4535479430559848
2015Q4,-1.9379909940295972,-5.360406722591388,1.3382334544316943
2016Q1,-2.16277795597265,-5.644976868973946,1.1606603627314271
2016Q2,-2.067792458685661,-5.596047310268297,1.1981404860456148
2016Q3,-1.9857235802321174,-5.773467791527489,1.656796855677897
2016Q4,-1.9076388506119306,-5.819300452906885,1.8530561965728642
2017Q1,-1.7590463679941728,-5.75612339804375,2.0720369522549893
2017Q2,-1.7551229077396682,-5.694466701976556,2.315145061818035
2017Q3,-1.6710630131282145,-5.839794487213523,2.484065723401445
2017Q4,-1.574141046932697,-5.736505421379238,2.552708299061193
2018Q1,-1.4037535410738369,-5.505654770462078,2.7182334012352793
2018Q2,-1.2881560538988965,-5.417197345411576,2.798959426477366
2018Q3,-1.3173589422720078,-5.025563474864845,2.3752529650837397
2018Q4,-1.0851939445183718,-4.594558832523019,2.320795935757175
2019Q1,-0.7411923659272175,-4.047828417727586,2.657669765481137
2019Q2,-0.37923056760545637,-3.414233190344559,2.9173147386059433
2019Q3,-0.3225106342190228,-3.1408608904099182,2.8789465593207235
2019Q4,-0.26013586923889476,-2.7946203579348667,2.58404545376178
2020Q1,-0.42815123447825837,-2.816701502605652,2.260822849257876
2020Q2,-1.0520288902206012,-3.2497210110418413,1.1614182237610933
2020Q3,-0.9204128642339942,-3.6355404752955973,1.8294787491286362
2021Q2,-0.91547398334137,-4.023694408516569,2.2682699078983366
2021Q3,-0.8064593732298098,-4.620330801049273,3.2404621197162076
2021Q4,-0.8254986435692379,-5.112992923581221,3.691930959162328
2022Q1,-1.1930630684147188,-4.276045432169782,2.0109695523437705
2022Q2,-1.3453343885132116,-4.267886058317829,1.554804006901464
2022Q3,-1.4027662563523307,-4.324064883658578,1.634529649230021
2022Q4,-1.3881772444516625,-4.391724495044042,1.740502356989926
2023Q1,-1.5095314381951337,-5.076549249520507,1.9760017608586946
2023Q2,-1.6530864182375269,-5.371706546862689,2.015054596677837
2023Q3,-1.8229810707380734,-5.820303401771892,2.0381056054457827
2023Q4,-2.0181581823234107,-5.9359772125504175,1.7799639592063035
2024Q1,-2.2354618101596797,-6.397578744411448,1.7577501315332742
2024Q2,-2.4168390358656366,-6.655028558819129,1.873068993321395
2024Q3,-2.5288210418507564,-7.03055471761266,1.669389809759767
2024Q4,-2.435572993962762,-6.993417528445212,2.0262545905145046
2025Q1,-2.5088908297884105,-7.649838528727179,2.4838475667450823
2025Q2,-2.5322155028715723,-8.78661475927993,3.46786341375097
