quarter,beta_mean,beta_p05,beta_p95
2013Q4,-0.08718022461534596,-2.16846631109564,2.0164381339265307
2014Q1,-0.24168663706841753,-2.538786649919333,2.1318599114335886
2014Q2,-0.5971859973051663,-3.0594506528646934,1.879298141652811
2014Q3,-0.8358287660777123,-3.491086494989944,1.9102413218698264
2014Q4,-1.0757885673088965,-3.931950200488245,1.6951763673631128
2015Q3,-1.3963029654028194,-4.330284210080508,1.6661838975148497
2015Q4,-1.7694076819815634,-5.12924767730594,1.3574792259605852
2016Q1,-1.9986317716133584,-5.4078495083922045,1.2531343873456222
2016Q2,-2.016521106389817,-5.424609186236339,1.2293124057965577
2016Q3,-1.919860408915291,-5.6150227704532005,1.6408378600935003
2016Q4,-1.8470739365350932,-5.9263790302218,2.0450910277519734
2017Q1,-1.7188441752585009,-5.594145231136361,1.9992052828535838
2017Q2,-1.6962221873015035,-5.874580299185368,2.2848402817384934
2017Q3,-1.6217247199188387,-5.769894311246123,2.5324169955511135
2017Q4,-1.5912719997119185,-5.863095396467503,2.5124541379648204
2018Q1,-1.487022125969509,-5.6793739414214395,2.567949868432103
2018Q2,-1.3547373572965824,-5.444517964969145,2.6930234186522175
2018Q3,-1.3669345799454016,-5.056923341801671,2.475022184387172
2018Q4,-1.1338873144082608,-4.47374351607581,2.380865755898251
2019Q1,-0.8064662571578071,-4.023620390904569,2.5839642973994996
2019Q2,-0.4651641885413591,-3.3937400462473963,2.7617870399403244
2019Q3,-0.38888546025257936,-3.183897927024601,2.5875117135944605
2019Q4,-0.34108800011161616,-2.8780798016110207,2.4087875078185434
2020Q1,-0.4805913409546874,-2.927909830543371,2.145631522571472
2020Q2,-1.1391760046033779,-3.3373971791046753,1.0365542604865539
2020Q3,-1.002636931149249,-3.7231106238413982,1.7677618270930433
2021Q2,-0.9981261266423344,-4.266800825171584,2.255232024017936
2021Q3,-1.0402712127989695,-4.788394036928488,2.880910024654673
2021Q4,-1.1226597189903664,-5.425874986638393,3.373385650221583
2022Q1,-1.338770038783191,-4.524916426855749,1.7858499210729526
2022Q2,-1.4365162328124452,-4.524546541894884,1.5433019867347433
2022Q3,-1.5235901164882428,-4.514642207775221,1.3049980859534027
2022Q4,-1.5197921227546123,-4.631507024308791,1.4730761549981448
2023Q1,-1.6216504406406482,-5.120240872131898,1.758107132168099
2023Q2,-1.8079123158362793,-5.427439459774359,1.7421978158899585
2023Q3,-1.9816903312323426,-5.859130461687248,1.673994253000156
2023Q4,-2.1137636570894274,-5.875843505950289,1.4320264857862286
2024Q1,-2.3062235928099977,-6.23223770897444,1.4604538475606543
2024Q2,-2.507063519212108,-6.824576888941688,1.4576150000320898
2024Q3,-2.6403568713099648,-6.883599289199235,1.3936292702635815
2024Q4,-2.5448002196366755,-6.982366240053889,1.626014548429968
2025Q1,-2.570193586316915,-7.572876670111924,2.0204816243224037
2025Q2,-2.4447408806302326,-8.302870389482033,3.0414000453925345
