quarter,beta_mean,beta_p05,beta_p95
2013Q4,-0.08718022461536648,-2.16846631109566,2.0164381339265254
2014Q1,-0.24168663706843974,-2.5387866499193428,2.1318599114335663
2014Q2,-0.5971859973051823,-3.0594506528647316,1.8792981416527852
2014Q3,-0.8358287660777026,-3.4910864949899314,1.9102413218698553
2014Q4,-1.0757885673088854,-3.9319502004882327,1.6951763673631175
2015Q3,-1.3963029654027947,-4.330284210080481,1.666183897514896
2015Q4,-1.76940768198152,-5.12924767730588,1.3574792259606392
2016Q1,-1.9986317716133024,-5.407849508392163,1.2531343873456906
2016Q2,-2.016521106389755,-5.424609186236276,1.2293124057966247
2016Q3,-1.9198604089152123,-5.615022770453111,1.6408378600935851
2016Q4,-1.8470739365349993,-5.926379030221696,2.0450910277520573
2017Q1,-1.718844175258395,-5.594145231136283,1.9992052828536844
2017Q2,-1.6962221873013827,-5.874580299185256,2.284840281738647
2017Q3,-1.6217247199187157,-5.769894311246003,2.532416995551242
2017Q4,-1.59127199971179,-5.863095396467389,2.5124541379649203
2018Q1,-1.4870221259693839,-5.67937394142132,2.567949868432236
2018Q2,-1.354737357296447,-5.4445179649690125,2.693023418652346
2018Q3,-1.3669345799452757,-5.056923341801539,2.4750221843872904
2018Q4,-1.1338873144081456,-4.4737435160757135,2.3808657558983524
2019Q1,-0.8064662571576862,-4.023620390904459,2.5839642973995995
2019Q2,-0.465164188541247,-3.393740046247277,2.761787039940433
2019Q3,-0.3888854602524842,-3.1838979270245082,2.5875117135945715
2019Q4,-0.3410880001115404,-2.878079801610952,2.4087875078186096
2020Q1,-0.48059134095461215,-2.927909830543318,2.1456315225715588
2020Q2,-1.1391760046033506,-3.337397179104643,1.036554260486573
2020Q3,-1.0026369311492491,-3.7231106238413743,1.7677618270930358
2021Q2,-0.9981261266423471,-4.2668008251715905,2.2552320240179364
2021Q3,-1.0402712127989955,-4.788394036928511,2.880910024654626
2021Q4,-1.1226597189904082,-5.425874986638441,3.3733856502215285
2022Q1,-1.3387700387832,-4.5249164268557545,1.7858499210729155
2022Q2,-1.4365162328124406,-4.5245465418948765,1.5433019867347428
2022Q3,-1.523590116488233,-4.514642207775209,1.3049980859534316
2022Q4,-1.5197921227546,-4.63150702430879,1.4730761549981612
2023Q1,-1.6216504406406407,-5.120240872131905,1.7581071321681516
2023Q2,-1.8079123158362738,-5.4274394597743765,1.7421978158899691
2023Q3,-1.9816903312323426,-5.859130461687274,1.6739942530001897
2023Q4,-2.1137636570894105,-5.875843505950331,1.4320264857862768
2024Q1,-2.3062235928099657,-6.232237708974527,1.460453847560721
2024Q2,-2.5070635192120734,-6.824576888941665,1.4576150000321504
2024Q3,-2.640356871309928,-6.883599289199201,1.3936292702636728
2024Q4,-2.5448002196366253,-6.982366240053885,1.6260145484300421
2025Q1,-2.57019358631685,-7.572876670111975,2.0204816243224824
2025Q2,-2.444740880630165,-8.302870389482084,3.041400045392655
