quarter,beta_mean,beta_p05,beta_p95
2013Q4,-0.14199498564654103,-1.3022106431656508,1.000417742789429
2014Q1,-0.3122089953524952,-1.6640958071048317,1.0607223391517728
2014Q2,-0.5214285378540062,-2.0328440906955993,1.0401212566243734
2014Q3,-0.6631448546466808,-2.4771601882668346,1.1891572512043123
2014Q4,-0.8597781686220621,-2.877260607896017,1.092354020892837
2015Q3,-1.0587934518538678,-3.3322608099479645,1.1961963460763718
2015Q4,-1.2443561597793682,-3.959173481358662,1.3625853745203536
2016Q1,-1.3827392723586966,-4.296322821998158,1.4676827443949685
2016Q2,-1.4816882090762291,-4.54700199290321,1.3473584289304668
2016Q3,-1.5098984490719871,-4.790754846751208,1.6462614349534268
2016Q4,-1.567611284750111,-5.149922379685277,1.7831069800810937
2017Q1,-1.520528136210081,-4.942989398923887,1.7435716725387858
2017Q2,-1.5367258231660723,-5.167240827786239,1.905415435751512
2017Q3,-1.5299227489090943,-5.275046087102618,2.0790028328689645
2017Q4,-1.5862944788235689,-5.440618924864264,2.0626059475765266
2018Q1,-1.587581303535037,-5.276974392261605,1.9062008512917092
2018Q2,-1.549563672659581,-5.323932836166128,2.057028885004137
2018Q3,-1.516832814449558,-4.98165211944817,1.8776149697232614
2018Q4,-1.4116599434421158,-4.37775067093291,1.5788910848412088
2019Q1,-1.3072637618386906,-4.1065590456738645,1.462765231844173
2019Q2,-1.1259577775648042,-3.5073709538601845,1.315946855899522
2019Q3,-1.0483604167722989,-3.215453699881627,1.1336213695085755
2019Q4,-1.0265786703032385,-3.102747692449207,1.1019295518065209
2020Q1,-1.1014062864605392,-3.1624940577350378,0.9712541053599628
2020Q2,-1.2546151481952008,-3.3359741048655556,0.7876427652911081
2020Q3,-1.1805194893550548,-3.723473242411858,1.3542446976609264
2021Q2,-1.232400066941968,-4.162039179437984,1.6303402458217278
2021Q3,-1.3000349441278698,-4.6858492916679415,2.043824363116771
2021Q4,-1.3435508425981808,-5.131248627609309,2.4394637391778016
2022Q1,-1.316033095732473,-3.9246671090896483,1.2283607212192538
2022Q2,-1.2790575604003949,-3.850525644278431,1.1048156912257046
2022Q3,-1.2965237726403611,-3.8380235768171165,1.04783982449679
2022Q4,-1.2675551257086946,-3.868272134606141,1.16668298878538
2023Q1,-1.2410664973428138,-4.113107008355757,1.43330142076169
2023Q2,-1.2937104580048089,-4.28496811344316,1.5459852244038135
2023Q3,-1.3750399146794934,-4.448188496972785,1.6112461232087716
2023Q4,-1.3880170837118866,-4.251395983107963,1.347478740054061
2024Q1,-1.4301579654888248,-4.4085917136608455,1.3649328905194533
2024Q2,-1.5296503688122005,-4.726273932354109,1.3830293897880166
2024Q3,-1.5911293453461555,-4.840643318598406,1.3392061148421288
2024Q4,-1.5401461969556256,-5.01773663284546,1.5181575772593876
2025Q1,-1.485566607599427,-5.237453088526224,1.7826495583839397
2025Q2,-1.267809111204471,-5.48306012942069,2.598064212751515
