quarter,pi_baseline,mu_cp,sigma_cp,delta_used,effective_sample_share
2011Q1,0.6666666666666856,,,0.3,1.0
2011Q2,0.16666666666668561,,,0.3,1.0
2011Q3,0.4333333333333371,,,0.3,1.0
2011Q4,0.06666666666666288,,,0.3,1.0
2012Q1,0.5333333333333599,,,0.3,0.897
2012Q2,-0.3333333333333144,,,0.3,0.499
2012Q4,0.26666666666667993,,,0.3,0.482
2013Q1,0.4000000000000057,0.9088529662739264,-0.520915091264313,0.3,0.581
2013Q2,-0.13333333333332575,,,0.3,0.4620000000000001
2013Q3,0.46666666666664014,1.1659700791072956,0.8422345081925047,0.3,0.875
2013Q4,0.09999999999999432,1.0817439626381928,1.2556016021573186,0.3,0.872
2014Q1,0.3333333333333144,0.989373606288199,0.9672523448219141,0.3,0.867
2014Q2,-0.36666666666667425,0.16846819504114185,0.6000242117029481,0.3,0.866
2014Q3,0.26666666666667993,0.39590239606183,0.29946150625586254,0.3,0.883
2014Q4,0.03333333333335986,0.4854631567109781,0.5264970268274513,0.3,0.862
2015Q1,0.3333333333333144,,,0.3,-0.009000000000000119
2015Q2,-0.13333333333332575,0.22578433577253926,0.4969791325125323,0.3,0.866
2015Q3,0.29999999999999716,0.6678329598148721,0.48552583709117897,0.3,0.864
2015Q4,0.06666666666666288,0.4883010537244408,0.522028997812076,0.3,0.863
2016Q1,0.5549567066666583,1.0738361056191237,0.753891811519781,0.3,0.858
2016Q2,-0.2555012199999993,0.24627648346996106,0.6279147188843178,0.3,0.853
2016Q3,0.3090669000000048,0.4468025035600416,0.3117417233884283,0.3,0.886
2016Q4,0.08277056333332666,0.3933822346377967,0.4091870868559124,0.3,0.87
2017Q1,0.17124214000000393,0.31770412522843156,0.3440100116255451,0.3,0.885
2017Q2,-0.06527280666668389,0.07628866822524327,0.32914863835887603,0.3,0.879
2017Q3,0.35373289999999713,0.3624380346127527,-1.1909878323442702,0.3,0.885
2017Q4,0.15367510000000095,0.1756877202156532,-1.182604455679727,0.3,0.904
2018Q1,0.24290102000000502,0.23132881872231115,-0.45613785224353237,0.3,0.736
2018Q2,-0.15031186000000218,0.2801521911864914,0.546073882137077,0.3,0.895
2018Q3,0.5565296333333407,0.9847023627967071,0.5189098316884968,0.3,0.897
2018Q4,-0.045852933333321744,0.37554682771535774,0.5079639438842043,0.3,0.9
2019Q1,0.37556236666668497,0.3628125769986157,-1.096237255410928,0.3,0.895
2019Q2,6.424333332688548e-05,0.4216778656519117,0.525439563266406,0.3,0.896
2019Q3,0.6679515666666589,0.6555719716951618,-1.2358096649475585,0.3,0.902
2019Q4,0.41560441000000026,0.840487195079164,0.5720911195361779,0.3,0.897
2020Q1,0.32094433666668465,0.32314260555302976,0.25684048567371415,0.3,0.869
2020Q2,-0.5737682933333161,-1.0017196384526192,-0.6068694971032645,0.3,0.521
2020Q3,0.4164578333333253,-0.056135812385482486,-0.40925982302646735,0.3,0.508
2020Q4,-0.06666666666666288,,,0.3,0.488
2021Q1,0.36666666666667425,0.4110768166155222,0.2864825341071931,0.3,0.881
2021Q2,-0.29999999999999716,-0.25114743566874487,0.2628890809117022,0.3,0.878
2021Q3,0.13333333333332575,0.17516179672710475,0.2556552639622246,0.3,0.883
2021Q4,0.26666666666667993,0.31159308709358535,0.24951606925510406,0.3,0.887
2022Q1,0.3333333333333144,0.37737148710213153,0.26395535643966417,0.3,0.873
2022Q2,0.06666666666666288,0.07702685185494856,0.25117223828794394,0.3,0.868
2022Q3,0.23333333333332007,0.5692756008844795,0.48928816682973586,0.3,0.888
2022Q4,-0.03333333333335986,-0.017581438040789488,0.24739995057769754,0.3,0.862
2023Q1,0.0,0.0458293325054423,0.28112849409395807,0.3,0.869
2023Q2,-0.03333333333335986,0.0005745954300598877,0.2746152270677479,0.3,0.866
2023Q3,0.23333333333332007,0.27199612436192466,0.2620922675729972,0.3,0.866
2023Q4,-0.16666666666668561,-0.14400775300032076,0.2630140653443211,0.3,0.864
2024Q1,0.09999999999999432,0.11946307969033143,0.2730073934329,0.3,0.868
2024Q2,-0.06666666666666288,-0.04540706177130738,0.26056071151622107,0.3,0.864
2024Q3,0.29999999999999716,0.3229253246644398,0.24928377339111457,0.3,0.871
2024Q4,-0.29999999999999716,-0.2812299918512241,0.25745869895811063,0.3,0.881
2025Q1,0.03333333333335986,0.05217323728200546,0.2626488192340416,0.3,0.872
2025Q2,-0.06666666666666288,-0.05772391176413871,0.2443927846044237,0.3,0.873
2025Q3,0.16666666666668561,0.4908707875377813,0.7614400096831525,0.3,0.907
