report_title,quarter,price_sentiment_index,infl_exp_index,income_sentiment_index,income_confidence_index,employment_sentiment_index,employment_expectation_index,price_up_share,price_same_share,price_down_share,price_uncertain_share,infl_exp_index_alt,epu_qavg,gpr_qavg,CPI_YoY,Consumer_Confidence_Index,Ind_Value_Added_YoY,M2_YoY,PPI_YoY,Real_Estate_Climate_Index,CPI_MoM_Idx,CPI_MoM,CPI_Level,CPI_YoY.1,PPI_MoM_Idx,PPI_MoM,PPI_Level,PPI_YoY_Rate,CPI_QoQ_Ann,CPI_YoY_from_Level,GDP_level,GDP_yoy_pct,Food_CPI_YoY_qavg,mu_cp,sigma_cp,effective_sample_share,delta_used,CPI_lead1,FE,FR
2011年第1季度储户问卷调查报告,2011Q1,17.3,72.8,54.5,55.4,41.7,53.2,47.1,,,,72.8,111.60794149333331,102.10813649495442,100.66666666666669,52.833333333333336,9.9,16.51,107.06126666666668,102.94,100.66666666666669,0.6666666666666666,126.87958846060504,5.166012319676587,107.06126666666668,7.061266666666668,2330.031687492355,98.31464368993636,8.275378430283297,5.518445336833677,106218.9,19.17969144460028,11.348026847184627,,,1.0,0.3,2.017893520660308,,
2011年第2季度储户问卷调查报告,2011Q2,16.8,72.2,54.1,55.3,40.7,51.3,45.4,,,,72.2,103.98311261666667,93.58484395345052,100.16666666666669,51.93333333333334,13.933333333333332,15.433333333333332,106.909,102.71333333333332,100.16666666666669,0.1666666666666619,127.514874940666,5.872614284580931,106.909,6.909000000000002,2847.104043358905,101.23490018219168,2.017893520660308,6.580530527103834,120776.8,19.492258224091017,12.62775533582646,,,1.0,0.3,5.325183911357168,,
2011年第3季度储户问卷调查报告,2011Q3,14.8,74.8,50.3,54.3,39.1,50.2,49.6,,,,74.8,127.54044813,83.07559204101562,100.43333333333334,50.93333333333334,13.766666666666666,13.766666666666666,107.10566666666666,101.01,100.43333333333334,0.4333333333333324,129.17959119663195,6.439340955578669,107.10566666666666,7.105666666666669,3498.0839712714337,112.48883759709116,5.325183911357168,6.262801151117015,128561.5,19.26713169420251,13.847049134232174,,,1.0,0.3,0.8003887782513264,,
2011年第4季度储户问卷调查报告,2011Q4,16.5,65.4,50.9,55.3,39.8,50.6,36.8,,,,65.4,159.72871866666665,81.61297861735027,100.06666666666666,49.9,12.8,13.066666666666668,103.1357,99.67666666666666,100.06666666666666,0.0666666666666628,129.4373037059917,4.654991365967565,103.1357,3.1357,3836.542202745577,109.96104477639165,0.8003887782513264,4.06390622179249,140150.3,15.577962797417788,9.852250396259713,,,1.0,0.3,6.560686087423062,,
2012年第1季度储户问卷调查报告,2012Q1,21.4,70.5,49.9,52.8,37.3,48.3,41.7,,,10.3,62.1,132.12712866666666,86.94692484537761,100.53333333333336,51.53333333333333,11.066666666666668,12.933333333333332,100.14866666666668,97.405,100.53333333333336,0.5333333333333362,131.5099793671166,3.821392758489347,100.14866666666668,0.1486666666666707,3853.5683244466127,78.09504131688266,6.560686087423062,3.649437204747308,119377.5,12.388190802201882,8.116943179120113,,,0.897,0.3,-3.9299263288206654,,
2012年第2季度储户问卷调查报告,2012Q2,18.2,65.5,50.1,53.2,40.1,48.9,18.2,65.5,8.4,50.1,65.5,132.83483733333333,84.00342559814453,99.66666666666669,51.3,9.466666666666669,13.213333333333331,98.6064,95.07666666666668,99.66666666666669,-0.3333333333333286,130.19842797570874,2.8586122575981143,98.6064,-1.3936000000000015,3694.510679597679,41.82395067469379,-3.9299263288206654,2.104501954216253,133491.2,10.527187340615086,5.777390473862661,,,0.499,0.3,3.238192255798533,,
2012年第4季度储户问卷调查报告,2012Q4,22.0,70.2,51.8,56.3,40.6,51.2,22.0,41.7,5.3,51.8,70.2,125.83372976666668,79.29495493570964,100.26666666666668,50.46666666666667,10.0,13.933333333333332,97.70166666666668,95.28666666666668,100.26666666666668,0.2666666666666657,132.55582884028422,1.9688393710163656,97.70166666666668,-2.298333333333332,3115.564205290982,-15.379646344106364,3.238192255798533,2.409293955455105,154258.0,10.066121870591791,3.1151541174127364,,,0.482,0.3,4.853935471561521,,
2013年第1季度储户问卷调查报告,2013Q1,20.0,66.9,54.6,55.8,41.9,52.0,20.0,66.9,54.6,41.9,66.9,101.64745566666666,82.71484883626302,100.4,50.46666666666667,2.966666666666667,15.6,98.2728,97.74,100.4,0.3999999999999962,134.1358956456187,2.343484728606837,98.2728,-1.727200000000001,2956.8919373658105,-21.99625240391649,4.853935471561521,1.9967429780911816,131879.7,10.472827794182326,3.910707439682959,0.9088529662739264,-0.520915091264313,0.581,0.3,-1.5951681187833078,-2.504021085057234,
2013年第2季度储户问卷调查报告,2013Q2,21.8,66.8,50.7,53.8,38.3,48.2,21.8,51.8,11.4,53.8,66.8,97.96971666,87.2660649617513,99.86666666666667,50.5,9.133333333333333,15.300000000000002,97.2734,97.3,99.86666666666667,-0.1333333333333305,133.59774243228847,2.303039503550908,97.2734,-2.7266,2721.554291672338,-25.65284710002112,-1.5951681187833078,2.610872119910645,146113.9,9.455829298111018,4.104107482962831,,,0.4620000000000001,0.3,5.740822782423316,,
2013年第3季度储户问卷调查报告,2013Q3,21.4,70.5,49.9,52.8,37.3,48.3,59.7,48.0,10.3,12.5,70.5,92.69466243333332,88.46396382649739,100.46666666666664,50.8,10.1,14.466666666666669,98.2533,97.31,100.46666666666664,0.4666666666666638,135.47519685059908,2.71320997808228,98.2533,-1.7466999999999997,2581.358104461473,-24.35888907784276,5.740822782423316,3.019884573272469,154972.1,10.391568839753829,5.294672605405563,1.1659700791072956,0.8422345081925047,0.875,0.3,1.2050059870639895,0.03903590795669398,
