variable,n_overlap,corr,mean_abs_diff,max_abs_diff
price_sentiment_index,18,1,0,0
infl_exp_index,42,0.773657202780433,1.42380952380952,6.10000000000001
income_sentiment_index,42,0.584746937654676,1.37380952380952,12.5
income_confidence_index,42,0.73699402305421,1.06428571428571,7.5
employment_sentiment_index,42,0.627804370404962,1.49523809523809,7.7
employment_expectation_index,42,0.999783471715665,1.18333333333333,5.3
price_up_share,43,0.612730626807494,7.64186046511628,43.4
price_same_share,42,-0.0302081573719274,15,70.3
price_down_share,42,0.388859742828223,7.80714285714286,47
price_uncertain_share,42,0.792270325493093,4.79285714285714,39
infl_exp_index_alt,42,0.623001229668426,6.20476190476191,23.8
mu_cp,36,0.684193539263745,0.189244244615556,1.42139021699744
sigma_cp,36,0.377058470431116,0.596961739543123,2.88113056302801
delta_used,47,,0,0
effective_sample_share,47,0.802661180837731,0.0481914893617021,0.39
epu_qavg,47,1,2.25861882388423e-13,3.97903932025656e-13
gpr_qavg,47,1,1.01290134672184e-13,5.40012479177676e-13
CPI_YoY,47,1,1.88067056018205e-13,3.5527136788005e-13
Consumer_Confidence_Index,47,1,2.26768958221309e-14,4.2632564145606e-14
Ind_Value_Added_YoY,47,1,4.16333634234434e-15,3.37507799486048e-14
M2_YoY,47,1,1.47021874580148e-14,3.5527136788005e-14
PPI_YoY,47,1,1.12477403277769e-13,3.5527136788005e-13
Real_Estate_Climate_Index,47,1,1.07034948280458e-13,3.5527136788005e-13
CPI_MoM_Idx,47,1,1.88067056018205e-13,3.5527136788005e-13
CPI_MoM,47,1,1.91927429364547e-16,4.9960036108132e-16
CPI_Level,47,1,2.19512351558227e-13,5.11590769747272e-13
PPI_MoM_Idx,47,1,1.12477403277769e-13,3.5527136788005e-13
PPI_MoM,47,1,2.71059770373908e-15,3.37507799486048e-14
PPI_Level,47,1,2.50594816765094e-12,5.00222085975111e-12
PPI_YoY_Rate,47,1,7.63124787947666e-14,4.2632564145606e-13
CPI_QoQ_Ann,47,1,1.71530241621052e-15,4.66293670342566e-15
CPI_YoY_from_Level,47,1,2.30902767355551e-15,4.88498130835069e-15
GDP_level,47,1,0,0
GDP_yoy_pct,47,1,1.31903944032061e-14,4.79616346638068e-14
Food_CPI_YoY_qavg,47,1,6.80306874663926e-15,4.2632564145606e-14
