equation,spec,beta,se,p,n,r2
Eq1,Eq1_1,0.0279574785350819,0.0121457013074258,0.0284640464644715,90133,9.32499979070522e-05
Eq1,Eq1_2,2.49181306022506,0.811621785554708,0.00451427184262583,22121,0.0382158964491522
Eq1,Eq1_3,0.0899400183021541,0.0529391321108504,0.0996810655923942,90133,0.0111202051700661
Eq1,Eq1_4,0.242269820998266,0.174163099176088,0.174441597102479,90133,0.00190639229069922
Eq1,Eq1_5,2.63597031111615,0.806079777381748,0.00270135951286709,22121,0.0419254806784459
Eq1,Eq1_6,0.118861765497945,0.0498032707304003,0.0235117137865906,90133,0.0115923829368096
Eq2,Eq2_1,-1.81205882146686,0.23191233124561,1.01769431407345e-08,93,0.192431210700101
Eq2,Eq2_2,-4.70316098665605,1.64607975128321,0.00769303112298254,93,0.703509878980324
Eq2,Eq2_3,-3.51916759297063,1.95377352086069,0.0817290270013871,93,0.589371277877401
Eq2,Eq2_4,-5.24936510137983,1.8168784502453,0.00710734063143969,93,0.738047510750246
Eq3_CP,Eq3_1,-1.96028870599048,0.259252505714305,1.97490457442254e-08,69529,0.215036756063218
Eq3_CP,Eq3_2,-2.86014806920404,5.78261056572784,0.624600504573873,22118,0.0229234153493125
Eq3_CP,Eq3_3,-5.69391664704332,1.19671441557719,4.61098027487155e-05,69529,0.827869357728238
Eq3_CP,Eq3_4,-6.29050104061717,1.12899468452136,4.63873457831801e-06,69529,0.8005189345945
Eq3_CP,Eq3_5,-6.62830516896551,5.37340152925707,0.227279191349995,22118,0.154248335364037
Eq3_CP,Eq3_6,-7.61044049749455,1.12415852760244,1.65836208485559e-07,69529,0.88736504367922
